Comic_ID,Publish Date,Comic-book Title,Price,Publisher,Est. units,Unformatted Total,Total
3150800,2008,Hulk,2.99,Marvel,133895.0,400346.05000000005,400.35K
3150801,2008,Amazing Spider-Man,3.99,Marvel,127856.0,510145.44,510.15K
3150802,2008,Captain America,2.99,Marvel,127524.0,381296.76,381.30K
3150803,2008,Astonishing X-Men,2.99,Marvel,107545.0,321559.55000000005,321.56K
3150804,2008,Uncanny X-Men,2.99,Marvel,105435.0,315250.65,315.25K
3150805,2008,Ultimates 3,2.99,Marvel,104985.0,313905.15,313.91K
3150806,2008,X-Men,2.99,Marvel,104709.0,313079.91000000003,313.08K
3150807,2008,Amazing Spider-Man,2.99,Marvel,101132.0,302384.68,302.38K
3150808,2008,Amazing Spider-Man,2.99,Marvel,97881.0,292664.19,292.66K
3150809,2008,Mighty Avengers,2.99,Marvel,92665.0,277068.35000000003,277.07K
31508010,2008,New Avengers Annual,3.99,Marvel,89572.0,357392.28,357.39K
31508011,2008,Mighty Avengers,2.99,Marvel,84391.0,252329.09000000003,252.33K
31508012,2008,New X-Men,2.99,Marvel,82592.0,246950.08000000002,246.95K
31508013,2008,X-Factor,2.99,Marvel,81285.0,243042.15000000002,243.04K
31508014,2008,Incredible Hercules,2.99,Marvel,73475.0,219690.25000000003,219.69K
31508015,2008,Wolverine,2.99,Marvel,60808.0,181815.92,181.82K
31508016,2008,Marvel Zombies 2,2.99,Marvel,60628.0,181277.72,181.28K
31508017,2008,Ultimate Spider-Man,2.99,Marvel,58753.0,175671.47,175.67K
31508018,2008,Ultimate Human,2.99,Marvel,57439.0,171742.61000000002,171.74K
31508019,2008,Avengers Initiative,2.99,Marvel,55225.0,165122.75,165.12K
31508020,2008,Wolverine Origins,2.99,Marvel,51877.0,155112.23,155.11K
31508021,2008,Ultimate X-Men,2.99,Marvel,49594.0,148286.06,148.29K
31508022,2008,Fantastic Four,2.99,Marvel,48294.0,144399.06,144.40K
31508023,2008,Ultimate Iron Man II,2.99,Marvel,46211.0,138170.89,138.17K
31508024,2008,Ultimate Fantastic Four,2.99,Marvel,44108.0,131882.92,131.88K
31508025,2008,New Exiles,2.99,Marvel,43818.0,131015.82,131.02K
31508026,2008,Young Avengers Presents,2.99,Marvel,43679.0,130600.21,130.60K
31508027,2008,Thunderbolts,2.99,Marvel,43610.0,130393.90000000001,130.39K
31508028,2008,Captain America Chosen,3.99,Marvel,42939.0,171326.61000000002,171.33K
31508029,2008,Daredevil,2.99,Marvel,42739.0,127789.61000000002,127.79K
