Film_ID,Title,Distributor(s),Release year,Budget (millions),Opening weekend(North America),North America,Other territories,Worldwide,For Opening weekend(North America),For North America,For Other territories,For Worldwide
130800,Iron Man,Paramount Pictures,2008,$140,98618668.0,318412101.0,266762121.0,585174222.0,98.62M,318.41M,266.76M,585.17M
130801,The Incredible Hulk,Universal Pictures,2008,$150,55414050.0,134806913.0,128620638.0,263427551.0,55.41M,134.81M,128.62M,263.43M
130802,Punisher: War Zone,Lionsgate Films,2008,$35,4271451.0,8050977.0,2049059.0,10100036.0,4.27M,8.05M,2.05M,10.10M
130803,X-Men Origins: Wolverine,20th Century Fox,2009,$150,85058003.0,179883157.0,193179707.0,373062864.0,85.06M,179.88M,193.18M,373.06M
130804,Iron Man 2,Paramount Pictures,2010,$200,128122480.0,312433331.0,311500000.0,623933331.0,128.12M,312.43M,311.50M,623.93M
130805,Thor,Paramount Pictures,2011,$150,65723338.0,181030624.0,268295994.0,449326618.0,65.72M,181.03M,268.30M,449.33M
130806,X-Men: First Class,20th Century Fox,2011,$160,55101604.0,146408305.0,207215819.0,353624124.0,55.10M,146.41M,207.22M,353.62M
130807,Captain America: The First Avenger,Paramount Pictures,2011,$140,65058524.0,176654505.0,193915269.0,370569774.0,65.06M,176.65M,193.92M,370.57M
130808,Ghost Rider: Spirit of Vengeance,Sony Pictures,2012,$57,22115334.0,51774002.0,80789928.0,132563930.0,22.12M,51.77M,80.79M,132.56M
130809,The Avengers,Walt Disney Studios Motion Pictures,2012,$220,207438708.0,623357910.0,895455078.0,1518812988.0,207.44M,623.36M,895.46M,1518.81M
130810,The Amazing Spider-Man,Sony Pictures,2012,$230,62004688.0,262030663.0,495900000.0,757930663.0,62.00M,262.03M,495.90M,757.93M
130811,Iron Man 3,Walt Disney Studios Motion Pictures,2013,$200,174144585.0,409013994.0,805797258.0,1214811252.0,174.14M,409.01M,805.80M,1214.81M
130812,The Wolverine,20th Century Fox,2013,$120,53113752.0,132550960.0,282271394.0,414828246.0,53.11M,132.55M,282.27M,414.83M
130813,Thor: The Dark World,Walt Disney Studios Motion Pictures,2013,$170,85737841.0,206362140.0,438209262.0,644571402.0,85.74M,206.36M,438.21M,644.57M
130814,Captain America: The Winter Soldier,Walt Disney Studios Motion Pictures,2014,$170,95023721.0,259766572.0,454497695.0,714264267.0,95.02M,259.77M,454.50M,714.26M
