Character_ID,Date,Character_Name,Total
0,2010,Black Panther,98969.0
1,2010,Black Widow,213106.0
2,2010,Cable,447833.0
3,2010,Captain America,3461886.0
4,2010,Daredevil,1094041.0
5,2010,Deadpool,4556827.0
6,2010,Gambit,130473.0
7,2010,Hulk,6402084.0
8,2010,Iron Man,2483476.0
9,2010,Loki,145613.0
10,2010,Spider-Man,10696910.0
11,2010,Storm,236607.0
12,2010,Thanos,904533.0
13,2010,Thor,3818436.0
14,2010,Wolverine,6025829.0
15,2010,X-23,610327.0
16,2010,X-Men,10139574.0
17,2010,Avengers,16738794.0
18,2010,Fantastic Four,1546319.0
19,2010,Punisher,353394.0
