Character_ID,Date,Character_Name,Total
0,2008,Beast,93453.78
1,2008,Black Panther,712439.8900000001
2,2008,Cable,1868897.1700000002
3,2008,Captain America,4146229.4200000004
4,2008,Colossus,106736.49
5,2008,Daredevil,1634773.8500000003
6,2008,Deadpool,1133421.23
7,2008,Hulk,6939238.900000001
8,2008,Iron Man,4680477.530000001
9,2008,Jean Grey,114098.04000000001
10,2008,Magneto,434582.82000000007
11,2008,Onslaught,116762.49
12,2008,Pixie,63600.600000000006
13,2008,Skrulls,264566.28
14,2008,Spider-Man,13913919.09
15,2008,Thor,3265461.36
16,2008,Wolverine,5938929.990000001
17,2008,X-Men,16403491.690000001
18,2008,Avengers,13067211.93
19,2008,Ghost Rider,1263462.92
20,2008,Venom,465226.06000000006
21,2008,Inhumans,556935.34
22,2008,Guardians of the Galaxy,220638.08000000002
23,2008,Logan,694196.16
24,2008,Fantastic Four,4413787.94
25,2008,Punisher,3102677.97
