Character_ID,Date,Character_Name,Total,Unformatted Total
215241200,2012,Apocalypse,482.29K,482287.0
215241201,2012,Cable,590.52K,590520.0
215241202,2012,Captain America,2.90M,2904351.0
215241203,2012,Daredevil,2.35M,2354088.0
215241204,2012,Deadpool,2.52M,2515928.0
215241205,2012,Gambit,413.52K,413517.0
215241206,2012,Hulk,2.97M,2967087.0
215241207,2012,Iron Man,3.43M,3434193.0
215241208,2012,Spider-Man,12.67M,12666832.0
215241209,2012,Thor,2.93M,2934237.0
215241210,2012,Wolverine,8.27M,8266603.0
215241211,2012,X-Men,29.20M,29203157.0
215241212,2012,Avengers,26.62M,26624869.0
215241213,2012,Venom,1.02M,1021196.0
215241214,2012,Fantastic Four,2.07M,2071334.0
215241215,2012,Punisher,197.34K,197340.0
