Comic_ID,Publish Date,Comic-book Title,Price,Publisher,Est. units,Total
0,2018,Thanos,3.99,Marvel,27870.0,111201.3
1,2018,Star Wars,3.99,Marvel,56602.0,225841.98
2,2018,Phoenix Resurrection Return Jean Grey,3.99,Marvel,51813.0,206733.87000000002
3,2018,Astonishing X-Men,3.99,Marvel,51397.0,205074.03
4,2018,Guardians of the Galaxy,4.99,Marvel,45504.0,227064.96000000002
5,2018,Rise of Black Panther,3.99,Marvel,40963.0,163442.37
6,2018,Rogue & Gambit,3.99,Marvel,40358.0,161028.42
7,2018,Captain America,3.99,Marvel,38254.0,152633.46000000002
8,2018,X-Men Gold,3.99,Marvel,37035.0,147769.65
9,2018,X-Men Grand Design,5.99,Marvel,31977.0,191542.23
10,2018,Spider-Man,3.99,Marvel,26400.0,105336.0
11,2018,Avengers,4.99,Marvel,88054.0,439389.46
12,2018,Old Man Hawkeye,3.99,Marvel,61859.0,246817.41
13,2018,Star Wars Darth Vader,3.99,Marvel,53832.0,214789.68000000002
14,2018,Phoenix Resurrection Return Jean Grey,3.99,Marvel,50019.0,199575.81
15,2018,Venom,3.99,Marvel,40102.0,160006.98
16,2018,Old Man Logan,3.99,Marvel,36033.0,143771.67
17,2018,X-Men Gold Annual,4.99,Marvel,34614.0,172723.86000000002
18,2018,X-Men Blue,3.99,Marvel,33432.0,133393.68
19,2018,Daredevil,3.99,Marvel,30678.0,122405.22
20,2018,Despicable Deadpool,3.99,Marvel,26983.0,107662.17000000001
21,2018,Spider-Man Deadpool,3.99,Marvel,26104.0,104154.96
22,2018,Star Wars,3.99,Marvel,54544.0,217630.56
23,2018,Amazing Spider-Man Venom Inc Omega,4.99,Marvel,48905.0,244035.95
24,2018,Avengers,3.99,Marvel,45265.0,180607.35
25,2018,Mighty Thor,3.99,Marvel,43171.0,172252.29
26,2018,X-Men Gold,3.99,Marvel,36905.0,147250.95
27,2018,Deadpool Vs. Old Man Logan,3.99,Marvel,31967.0,127548.33
28,2018,Peter Parker Spectacular Spider-Man,3.99,Marvel,29056.0,115933.44
29,2018,Doctor Strange,3.99,Marvel,27298.0,108919.02
30,2018,Weapon X,3.99,Marvel,26487.0,105683.13
31,2018,Amazing Spider-Man,3.99,Marvel,74280.0,296377.2
32,2018,Phoenix Resurrection Return Jean Grey,3.99,Marvel,46872.0,187019.28
33,2018,Thanos,3.99,Marvel,44642.0,178121.58000000002
34,2018,Avengers,3.99,Marvel,42574.0,169870.26
35,2018,X-Men Blue Annual,4.99,Marvel,40318.0,201186.82
36,2018,Marvel Two-In-One,3.99,Marvel,36921.0,147314.79
37,2018,X-Men Blue,3.99,Marvel,32910.0,131310.9
38,2018,Phoenix Resurrection Return Jean Grey,4.99,Marvel,47337.0,236211.63
39,2018,Avengers,3.99,Marvel,46887.0,187079.13
40,2018,Star Wars Last Jedi Dj,4.99,Marvel,43285.0,215992.15000000002
41,2018,Old Man Logan,3.99,Marvel,34905.0,139270.95
42,2018,Star Wars Doctor Aphra,3.99,Marvel,31215.0,124547.85
43,2018,Invincible Iron Man,3.99,Marvel,30307.0,120924.93000000001
44,2018,Despicable Deadpool,3.99,Marvel,26810.0,106971.90000000001
45,2018,X-Men Red,4.99,Marvel,97021.0,484134.79000000004
46,2018,Star Wars,3.99,Marvel,56320.0,224716.80000000002
47,2018,Avengers,3.99,Marvel,43638.0,174115.62
48,2018,Infinity Countdown Adam Warlock,4.99,Marvel,40913.0,204155.87
49,2018,X-Men Gold,3.99,Marvel,39382.0,157134.18000000002
50,2018,Venom,3.99,Marvel,32112.0,128126.88
51,2018,Daredevil,3.99,Marvel,27722.0,110610.78
52,2018,Star Wars Darth Vader,3.99,Marvel,54192.0,216226.08000000002
53,2018,Star Wars Thrawn,4.99,Marvel,52895.0,263946.05
54,2018,Amazing Spider-Man Annual,4.99,Marvel,44872.0,223911.28
55,2018,Avengers,3.99,Marvel,41892.0,167149.08000000002
56,2018,X-Men Blue,3.99,Marvel,39089.0,155965.11000000002
57,2018,Old Man Hawkeye,3.99,Marvel,38544.0,153790.56
58,2018,Marvel Two-In-One,3.99,Marvel,38294.0,152793.06
59,2018,Old Man Logan,3.99,Marvel,37760.0,150662.4
60,2018,Captain America,3.99,Marvel,37727.0,150530.73
61,2018,Despicable Deadpool,3.99,Marvel,29565.0,117964.35
62,2018,Doctor Strange,3.99,Marvel,27080.0,108049.20000000001
63,2018,Infinity Countdown Prime,4.99,Marvel,59983.0,299315.17
64,2018,Doctor Strange Damnation,4.99,Marvel,43471.0,216920.29
65,2018,Mighty Thor,3.99,Marvel,42983.0,171502.17
66,2018,Avengers,3.99,Marvel,42571.0,169858.29
67,2018,X-Men Gold,3.99,Marvel,35993.0,143612.07
68,2018,Venom,3.99,Marvel,35411.0,141289.89
69,2018,Astonishing X-Men,3.99,Marvel,32601.0,130077.99
70,2018,Star Wars Doctor Aphra,3.99,Marvel,30803.0,122903.97
71,2018,Deadpool Vs. Old Man Logan,3.99,Marvel,29361.0,117150.39
72,2018,Peter Parker Spectacular Spider-Man,5.99,Marvel,77829.0,466195.71
73,2018,Star Wars Darth Vader,3.99,Marvel,50143.0,200070.57
74,2018,Thanos,3.99,Marvel,45523.0,181636.77000000002
75,2018,Avengers,3.99,Marvel,44298.0,176749.02000000002
76,2018,X-Men Blue,3.99,Marvel,35251.0,140651.49000000002
77,2018,All New Wolverine,3.99,Marvel,30608.0,122125.92000000001
78,2018,Invincible Iron Man,3.99,Marvel,30568.0,121966.32
79,2018,Black Panther,3.99,Marvel,28628.0,114225.72
80,2018,Despicable Deadpool,3.99,Marvel,26648.0,106325.52
81,2018,Amazing Spider-Man,3.99,Marvel,150577.0,600802.23
82,2018,Infinity Countdown,4.99,Marvel,97381.0,485931.19
83,2018,True Believers Venom Vs. Spider-Man,1.0,Marvel,90943.0,90943.0
84,2018,Star Wars,3.99,Marvel,56411.0,225079.89
85,2018,X-Men Red,3.99,Marvel,50834.0,202827.66
86,2018,X-Men Gold,3.99,Marvel,38637.0,154161.63
87,2018,Captain America,3.99,Marvel,35089.0,140005.11000000002
88,2018,Doctor Strange Damnation,3.99,Marvel,33103.0,132080.97
89,2018,Venom,3.99,Marvel,28581.0,114038.19
90,2018,Avengers,4.99,Marvel,57013.0,284494.87
91,2018,New Mutants Dead Souls,3.99,Marvel,54608.0,217885.92
92,2018,Star Wars Darth Vader,3.99,Marvel,52848.0,210863.52000000002
93,2018,Star Wars Thrawn,3.99,Marvel,37766.0,150686.34
94,2018,Old Man Logan,3.99,Marvel,36395.0,145216.05000000002
95,2018,X-Men Blue,3.99,Marvel,36301.0,144840.99000000002
96,2018,Astonishing X-Men,3.99,Marvel,32023.0,127771.77
97,2018,Peter Parker Spectacular Spider-Man,3.99,Marvel,31119.0,124164.81000000001
98,2018,Despicable Deadpool,3.99,Marvel,29106.0,116132.94
99,2018,Marvel Two-In-One,3.99,Marvel,29025.0,115809.75
100,2018,True Believers Venom Lethal Protector,1.0,Marvel,28774.0,28774.0
101,2018,All New Wolverine,3.99,Marvel,27851.0,111125.49
102,2018,True Believers Venom Carnage,1.0,Marvel,26099.0,26099.0
103,2018,Weapon H,4.99,Marvel,100890.0,503441.10000000003
104,2018,Mighty Thor,3.99,Marvel,96930.0,386750.7
105,2018,Thanos,3.99,Marvel,54097.0,215847.03
106,2018,Star Wars,3.99,Marvel,53380.0,212986.2
107,2018,Avengers,3.99,Marvel,46101.0,183942.99000000002
108,2018,X-Men Gold,3.99,Marvel,35418.0,141317.82
109,2018,Doctor Strange Damnation,3.99,Marvel,31190.0,124448.1
110,2018,Daredevil,5.99,Marvel,67326.0,403282.74
111,2018,Avengers,3.99,Marvel,45947.0,183328.53
112,2018,Old Man Logan,3.99,Marvel,33861.0,135105.39
