Comic_ID,Publish Date,Comic-book Title,Price,Publisher,Est. units,Total
3150800,2008,Hulk,2.99,Marvel,133895.0,400346.05000000005
3150801,2008,Amazing Spider-Man,3.99,Marvel,127856.0,510145.44
3150802,2008,Captain America,2.99,Marvel,127524.0,381296.76
3150803,2008,Astonishing X-Men,2.99,Marvel,107545.0,321559.55000000005
3150804,2008,Uncanny X-Men,2.99,Marvel,105435.0,315250.65
3150805,2008,Ultimates 3,2.99,Marvel,104985.0,313905.15
3150806,2008,X-Men,2.99,Marvel,104709.0,313079.91000000003
3150807,2008,Amazing Spider-Man,2.99,Marvel,101132.0,302384.68
3150808,2008,Amazing Spider-Man,2.99,Marvel,97881.0,292664.19
3150809,2008,Mighty Avengers,2.99,Marvel,92665.0,277068.35000000003
31508010,2008,New Avengers Annual,3.99,Marvel,89572.0,357392.28
31508011,2008,Mighty Avengers,2.99,Marvel,84391.0,252329.09000000003
31508012,2008,New X-Men,2.99,Marvel,82592.0,246950.08000000002
31508013,2008,X-Factor,2.99,Marvel,81285.0,243042.15000000002
31508014,2008,Incredible Hercules,2.99,Marvel,73475.0,219690.25000000003
31508015,2008,Wolverine,2.99,Marvel,60808.0,181815.92
31508016,2008,Marvel Zombies 2,2.99,Marvel,60628.0,181277.72
31508017,2008,Ultimate Spider-Man,2.99,Marvel,58753.0,175671.47
31508018,2008,Ultimate Human,2.99,Marvel,57439.0,171742.61000000002
31508019,2008,Avengers Initiative,2.99,Marvel,55225.0,165122.75
31508020,2008,Wolverine Origins,2.99,Marvel,51877.0,155112.23
31508021,2008,Ultimate X-Men,2.99,Marvel,49594.0,148286.06
31508022,2008,Fantastic Four,2.99,Marvel,48294.0,144399.06
31508023,2008,Ultimate Iron Man II,2.99,Marvel,46211.0,138170.89
31508024,2008,Ultimate Fantastic Four,2.99,Marvel,44108.0,131882.92
31508025,2008,New Exiles,2.99,Marvel,43818.0,131015.82
31508026,2008,Young Avengers Presents,2.99,Marvel,43679.0,130600.21
31508027,2008,Thunderbolts,2.99,Marvel,43610.0,130393.90000000001
31508028,2008,Captain America Chosen,3.99,Marvel,42939.0,171326.61000000002
31508029,2008,Daredevil,2.99,Marvel,42739.0,127789.61000000002
31508030,2008,World War Hulk Aftersmash Warbound,2.99,Marvel,39757.0,118873.43000000001
31508031,2008,Onslaught Reborn,2.99,Marvel,39051.0,116762.49
31508032,2008,Iron Man,3.99,Marvel,38041.0,151783.59
31508033,2008,Punisher War Journal,2.99,Marvel,35786.0,107000.14000000001
31508034,2008,Twelve,2.99,Marvel,35627.0,106524.73000000001
31508035,2008,What If Spider-Man Vs Wolverine,2.99,Marvel,35253.0,105406.47
31508036,2008,Moon Knight,2.99,Marvel,34541.0,103277.59000000001
31508037,2008,World War Hulk Aftersmash Damage Control,2.99,Marvel,33559.0,100341.41
31508038,2008,X-Men Emperor Vulcan,2.99,Marvel,33524.0,100236.76000000001
31508039,2008,Immortal Iron Fist,2.99,Marvel,32597.0,97465.03000000001
31508040,2008,Spider-Man With Great Power,3.99,Marvel,32175.0,128378.25
31508041,2008,Punisher,2.99,Marvel,31628.0,94567.72
31508042,2008,Annihilation Conquest,2.99,Marvel,30065.0,89894.35
31508043,2008,Nova,2.99,Marvel,29373.0,87825.27
31508044,2008,New Warriors,2.99,Marvel,28903.0,86419.97
31508045,2008,Ghost Rider,2.99,Marvel,28543.0,85343.57
31508046,2008,Anita Blake Vampire Hunter Guilty Pleasures,2.99,Marvel,27851.0,83274.49
31508047,2008,House of M Avengers,2.99,Marvel,27803.0,83130.97
31508048,2008,Silver Surfer In Thy Name,2.99,Marvel,27609.0,82550.91
31508049,2008,Spider Man Swing Shift Directors Cut One Shot,3.99,Marvel,25029.0,99865.71
31508050,2008,Ms. Marvel,2.99,Marvel,24240.0,72477.6
31508051,2008,Exiles Days of Then & Now,3.99,Marvel,23977.0,95668.23000000001
31508052,2008,Cable Deadpool,2.99,Marvel,23403.0,69974.97
31508053,2008,She-Hulk 2,3.99,Marvel,23265.0,92827.35
31508054,2008,Ultimate Secrets,3.99,Marvel,22538.0,89926.62000000001
31508055,2008,Order,2.99,Marvel,21521.0,64347.79000000001
31508056,2008,Penance Relentless,2.99,Marvel,21127.0,63169.73
31508057,2008,Marvel Comics Presents,3.99,Marvel,17412.0,69473.88
31508058,2008,Amazing Spider-Girl,2.99,Marvel,16409.0,49062.91
31508059,2008,X-Men First Class Vol. 2,2.99,Marvel,15973.0,47759.270000000004
31508060,2008,Ultimates 3,2.99,Marvel,12265.0,36672.350000000006
31508061,2008,Avengers Classic,2.99,Marvel,10508.0,31418.920000000002
31508062,2008,Howard The Duck,2.99,Marvel,10432.0,31191.680000000004
31508063,2008,Omega Unknown,2.99,Marvel,10155.0,30363.45
31508064,2008,Zombie Simon Garth,3.99,Marvel,10003.0,39911.97
31508065,2008,X-Factor,2.99,Marvel,9512.0,28440.88
31508066,2008,Marvel Spotlight Ultimates 3,2.99,Marvel,9346.0,27944.54
31508067,2008,Wormwood Calamari Rising,3.99,IDW,7139.0,28484.61
31508068,2008,Uncanny X-Men,2.99,Marvel,7056.0,21097.440000000002
31508069,2008,X-Men,2.99,Marvel,6939.0,20747.61
31508070,2008,Hedge Knight 2 Sworn Sword,2.99,Marvel,6807.0,20352.93
31508071,2008,Civil War Chronicles,4.99,Marvel,6122.0,30548.780000000002
31508072,2008,Marvel Adventures Spider-Man,2.99,Marvel,6060.0,18119.4
