Comic_ID,Publish Date,Comic-book Title,Price,Publisher,Est. units,Unformatted Total,Total
3151100,2011,Ultimate Comics Spider-Man,3.99,Marvel,172700.0,689073.0,689.07K
3151101,2011,Fantastic Four,3.99,Marvel,146100.0,582939.0,582.94K
3151102,2011,Fear Itself,3.99,Marvel,146000.0,582540.0,582.54K
3151103,2011,Amazing Spider-Man,3.99,Marvel,139500.0,556605.0,556.61K
3151104,2011,Ultimate Fallout,3.99,Marvel,130667.0,521361.33,521.36K
3151105,2011,FF,3.99,Marvel,126100.0,503139.0,503.14K
3151106,2011,Point One,5.99,Marvel,115600.0,692444.0,692.44K
3151107,2011,Avenging Spider-Man,3.99,Marvel,113200.0,451668.0,451.67K
3151108,2011,Incredible Hulk,3.99,Marvel,112700.0,449673.0,449.67K
3151109,2011,Uncanny X-Men,3.99,Marvel,112300.0,448077.0,448.08K
31511010,2011,Fear Itself,3.99,Marvel,108800.0,434112.0,434.11K
31511011,2011,Captain America,3.99,Marvel,104000.0,414960.0,414.96K
31511012,2011,Fear Itself,3.99,Marvel,103700.0,413763.0,413.76K
31511013,2011,Wolverine and X-Men,3.99,Marvel,103600.0,413364.0,413.36K
31511014,2011,Fear Itself,3.99,Marvel,98800.0,394212.0,394.21K
31511015,2011,Ultimate Comics Spider-Man,3.99,Marvel,98100.0,391419.0,391.42K
31511016,2011,Fear Itself,4.99,Marvel,96700.0,482533.0,482.53K
31511017,2011,Fear Itself,3.99,Marvel,95900.0,382641.0,382.64K
31511018,2011,Fear Itself,3.99,Marvel,94800.0,378252.0,378.25K
31511019,2011,Avengers X-Sanction,3.99,Marvel,93400.0,372666.0,372.67K
31511020,2011,Mighty Thor,3.99,Marvel,90000.0,359100.0,359.10K
31511021,2011,Defenders,3.99,Marvel,86000.0,343140.0,343.14K
31511022,2011,Wolverine and X-Men,3.99,Marvel,84500.0,337155.0,337.15K
31511023,2011,Incredible Hulk,3.99,Marvel,81200.0,323988.0,323.99K
31511024,2011,FF,2.99,Marvel,76600.0,229034.00000000003,229.03K
31511025,2011,Fantastic Four,7.99,Marvel,75400.0,602446.0,602.45K
31511026,2011,Uncanny X-Men,3.99,Marvel,73700.0,294063.0,294.06K
31511027,2011,Amazing Spider-Man,3.99,Marvel,73500.0,293265.0,293.26K
31511028,2011,X-Men Schism,4.99,Marvel,72100.0,359779.0,359.78K
31511029,2011,Fantastic Four,3.99,Marvel,71900.0,286881.0,286.88K
31511030,2011,Daredevil,3.99,Marvel,71700.0,286083.0,286.08K
31511031,2011,FF,2.99,Marvel,70900.0,211991.00000000003,211.99K
31511032,2011,Fear Itself Book of the Skull,3.99,Marvel,69400.0,276906.0,276.91K
31511033,2011,Avengers,3.99,Marvel,69400.0,276906.0,276.91K
31511034,2011,Kick-Ass 2,2.99,Marvel,69300.0,207207.00000000003,207.21K
31511035,2011,Ultimate Comics X-Men,3.99,Marvel,68600.0,273714.0,273.71K
31511036,2011,Avengers,3.99,Marvel,67900.0,270921.0,270.92K
31511037,2011,X-Men,3.99,Marvel,67700.0,270123.0,270.12K
31511038,2011,Amazing Spider-Man,3.99,Marvel,67000.0,267330.0,267.33K
31511039,2011,Avengers,3.99,Marvel,66100.0,263739.0,263.74K
31511040,2011,Venom,3.99,Marvel,65600.0,261744.0,261.74K
31511041,2011,Avengers,3.99,Marvel,65300.0,260547.0,260.55K
31511042,2011,Avengers,3.99,Marvel,64900.0,258951.0,258.95K
31511043,2011,FF,2.99,Marvel,64500.0,192855.0,192.85K
31511044,2011,Amazing Spider-Man,3.99,Marvel,64300.0,256557.0,256.56K
31511045,2011,Avengers,3.99,Marvel,64300.0,256557.0,256.56K
31511046,2011,Uncanny X-Men,3.99,Marvel,64100.0,255759.0,255.76K
31511047,2011,Amazing Spider-Man,3.99,Marvel,62800.0,250572.0,250.57K
31511048,2011,Avengers,3.99,Marvel,62600.0,249774.0,249.77K
31511049,2011,Uncanny X-Men,3.99,Marvel,62400.0,248976.0,248.98K
31511050,2011,New Avengers,3.99,Marvel,62400.0,248976.0,248.98K
31511051,2011,Ultimate Comics Ultimates,3.99,Marvel,62300.0,248577.0,248.58K
31511052,2011,Amazing Spider-Man,3.99,Marvel,62300.0,248577.0,248.58K
31511053,2011,Avengers,3.99,Marvel,62100.0,247779.0,247.78K
31511054,2011,Avengers,2.99,Marvel,62000.0,185380.0,185.38K
31511055,2011,Ultimate Fallout,3.99,Marvel,61900.0,246981.0,246.98K
31511056,2011,New Avengers,3.99,Marvel,61800.0,246582.0,246.58K
31511057,2011,Ultimate Comics Spider-Man,3.99,Marvel,61500.0,245385.0,245.38K
31511058,2011,Amazing Spider-Man,3.99,Marvel,61400.0,244986.0,244.99K
31511059,2011,New Avengers,3.99,Marvel,61200.0,244188.0,244.19K
31511060,2011,New Avengers,3.99,Marvel,60900.0,242991.0,242.99K
31511061,2011,Amazing Spider-Man,3.99,Marvel,60800.0,242592.0,242.59K
31511062,2011,Fear Itself,3.99,Marvel,60700.0,242193.0,242.19K
31511063,2011,Avenging Spider-Man,3.99,Marvel,60700.0,242193.0,242.19K
31511064,2011,Avengers,3.99,Marvel,60600.0,241794.0,241.79K
31511065,2011,X-Men Regenesis,3.99,Marvel,60300.0,240597.0,240.60K
31511066,2011,FF,2.99,Marvel,60100.0,179699.0,179.70K
31511067,2011,Fear Itself Fearless,2.99,Marvel,60100.0,179699.0,179.70K
31511068,2011,Amazing Spider-Man,3.99,Marvel,60000.0,239400.0,239.40K
31511069,2011,New Avengers,3.99,Marvel,60000.0,239400.0,239.40K
31511070,2011,Amazing Spider-Man,3.99,Marvel,59800.0,238602.0,238.60K
31511071,2011,Avengers,3.99,Marvel,59800.0,238602.0,238.60K
31511072,2011,Uncanny X-Men,3.99,Marvel,59700.0,238203.0,238.20K
31511073,2011,Amazing Spider-Man,3.99,Marvel,59700.0,238203.0,238.20K
31511074,2011,New Avengers,3.99,Marvel,59000.0,235410.0,235.41K
31511075,2011,Amazing Spider-Man,3.99,Marvel,59000.0,235410.0,235.41K
31511076,2011,X-Men Schism,3.99,Marvel,58900.0,235011.0,235.01K
31511077,2011,Amazing Spider-Man,3.99,Marvel,58700.0,234213.0,234.21K
31511078,2011,Amazing Spider-Man,3.99,Marvel,58600.0,233814.0,233.81K
