Comic_ID,Publish Date,Comic-book Title,Price,Publisher,Est. units,Total
3151400,2014,Amazing Spider-Man,5.99,Marvel,559217.0,3349709.83
3151401,2014,Rocket Raccoon,3.99,Marvel,310990.0,1240850.1
3151402,2014,Death of Wolverine,4.99,Marvel,274022.0,1367369.78
3151403,2014,Death of Wolverine,4.99,Marvel,170839.0,852486.61
3151404,2014,Thor,3.99,Marvel,166217.0,663205.8300000001
3151405,2014,Original Sin,4.99,Marvel,154773.0,772317.27
3151406,2014,Death of Wolverine,4.99,Marvel,148930.0,743160.7000000001
3151407,2014,Death of Wolverine,4.99,Marvel,147240.0,734727.6
3151408,2014,Superior Spider-Man,5.99,Marvel,141818.0,849489.8200000001
3151409,2014,Avengers and X-Men Axis,4.99,Marvel,140459.0,700890.41
31514010,2014,Amazing Spider-Man,3.99,Marvel,137680.0,549343.2000000001
31514011,2014,Amazing Spider-Man,4.99,Marvel,135692.0,677103.0800000001
31514012,2014,All New Captain America,3.99,Marvel,123597.0,493152.03
31514013,2014,Amazing Spider-Man,3.99,Marvel,123089.0,491125.11000000004
31514014,2014,Amazing Spider-Man,3.99,Marvel,118448.0,472607.52
31514015,2014,Amazing Spider-Man,3.99,Marvel,116999.0,466826.01
31514016,2014,Amazing Spider-Man,3.99,Marvel,115513.0,460896.87000000005
31514017,2014,Original Sin,3.99,Marvel,105582.0,421272.18000000005
31514018,2014,Avengers,4.99,Marvel,105509.0,526489.91
31514019,2014,Amazing Spider-Man,3.99,Marvel,105114.0,419404.86000000004
31514020,2014,Amazing Spider-Man,3.99,Marvel,104739.0,417908.61000000004
31514021,2014,Amazing Spider-Man,3.99,Marvel,102364.0,408432.36000000004
31514022,2014,Amazing Spider-Man,3.99,Marvel,101316.0,404250.84
31514023,2014,Original Sin,3.99,Marvel,99783.0,398134.17000000004
31514024,2014,Spider-Man 2099,3.99,Marvel,98632.0,393541.68
31514025,2014,Spider-Woman,3.99,Marvel,96778.0,386144.22000000003
31514026,2014,Amazing Spider-Man,3.99,Marvel,96272.0,384125.28
31514027,2014,Original Sin,3.99,Marvel,95551.0,381248.49000000005
31514028,2014,Shield,4.99,Marvel,94503.0,471569.97000000003
31514029,2014,Original Sin,3.99,Marvel,94287.0,376205.13
31514030,2014,Wolverine,3.99,Marvel,94279.0,376173.21
31514031,2014,Original Sin,3.99,Marvel,93187.0,371816.13
31514032,2014,Thor,3.99,Marvel,92657.0,369701.43
31514033,2014,Original Sin,3.99,Marvel,91697.0,365871.03
31514034,2014,Original Sin,4.99,Marvel,90777.0,452977.23000000004
31514035,2014,Avengers and X-Men Axis,3.99,Marvel,90371.0,360580.29000000004
31514036,2014,Superior Spider-Man,3.99,Marvel,89258.0,356139.42000000004
31514037,2014,Superior Spider-Man,4.99,Marvel,89079.0,444504.21
31514038,2014,Avengers World,3.99,Marvel,88948.0,354902.52
31514039,2014,Legendary Star Lord,3.99,Marvel,88795.0,354292.05000000005
31514040,2014,Avengers and X-Men Axis,3.99,Marvel,87751.0,350126.49
31514041,2014,Superior Iron Man,3.99,Marvel,87725.0,350022.75
31514042,2014,Amazing Spider-Man,3.99,Marvel,87358.0,348558.42000000004
31514043,2014,Superior Spider-Man,3.99,Marvel,87229.0,348043.71
31514044,2014,Original Sin,4.99,Marvel,85761.0,427947.39
31514045,2014,Superior Spider-Man,4.99,Marvel,80964.0,404010.36000000004
31514046,2014,All New X-Men,3.99,Marvel,80204.0,320013.96
31514047,2014,Avengers and X-Men Axis,3.99,Marvel,79963.0,319052.37
31514048,2014,Daredevil,3.99,Marvel,78620.0,313693.8
31514049,2014,Superior Spider-Man,3.99,Marvel,78137.0,311766.63
31514050,2014,Superior Spider-Man,3.99,Marvel,77638.0,309775.62
31514051,2014,Superior Spider-Man,3.99,Marvel,76544.0,305410.56
31514052,2014,Avengers and X-Men Axis,3.99,Marvel,76463.0,305087.37
31514053,2014,Hulk,3.99,Marvel,76364.0,304692.36000000004
31514054,2014,Captain America,4.99,Marvel,75583.0,377159.17000000004
31514055,2014,Ms Marvel,2.99,Marvel,75280.0,225087.2
31514056,2014,Avengers and X-Men Axis,3.99,Marvel,74868.0,298723.32
31514057,2014,Amazing Spider-Man,3.99,Marvel,74743.0,298224.57
31514058,2014,Superior Spider-Man,4.99,Marvel,73916.0,368840.84
31514059,2014,Death of Wolverine Logan Legacy,3.99,Marvel,73236.0,292211.64
31514060,2014,Thor,3.99,Marvel,72563.0,289526.37
31514061,2014,Spider-Verse,4.99,Marvel,72295.0,360752.05
31514062,2014,Moon Knight,3.99,Marvel,72092.0,287647.08
31514063,2014,Silver Surfer,3.99,Marvel,71355.0,284706.45
31514064,2014,Amazing Spider-Man Annual,4.99,Marvel,71284.0,355707.16000000003
31514065,2014,Amazing Spider-Man,3.99,Marvel,71167.0,283956.33
31514066,2014,Avengers and X-Men Axis,3.99,Marvel,70194.0,280074.06
31514067,2014,Edge of Spider-Verse,3.99,Marvel,70107.0,279726.93
31514068,2014,Avengers and X-Men Axis,4.99,Marvel,69518.0,346894.82
31514069,2014,Avengers and X-Men Axis,3.99,Marvel,69449.0,277101.51
31514070,2014,Fantastic Four,3.99,Marvel,68963.0,275162.37
31514071,2014,Origin II,3.99,Marvel,67379.0,268842.21
31514072,2014,All New X-Men,3.99,Marvel,67129.0,267844.71
31514073,2014,Guardians of Galaxy,3.99,Marvel,66977.0,267238.23000000004
31514074,2014,Avengers,3.99,Marvel,66213.0,264189.87
31514075,2014,Winter Soldier Bitter March,3.99,Marvel,65731.0,262266.69
31514076,2014,Uncanny X-Men,3.99,Marvel,65286.0,260491.14
31514077,2014,Guardians of Galaxy,3.99,Marvel,65197.0,260136.03000000003
31514078,2014,Amazing Spider-Man,3.99,Marvel,64772.0,258440.28000000003
31514079,2014,Deadpool,9.99,Marvel,64557.0,644924.43
31514080,2014,All New X-Men,3.99,Marvel,64477.0,257263.23
31514081,2014,All New X-Men,4.99,Marvel,64343.0,321071.57
31514082,2014,Uncanny Avengers,3.99,Marvel,64283.0,256489.17
31514083,2014,Rocket Raccoon,3.99,Marvel,63877.0,254869.23
31514084,2014,Magneto,3.99,Marvel,63840.0,254721.6
31514085,2014,Edge of Spider-Verse,3.99,Marvel,63591.0,253728.09000000003
31514086,2014,All New X-Men,3.99,Marvel,63384.0,252902.16
31514087,2014,Uncanny X-Men,3.99,Marvel,63312.0,252614.88
31514088,2014,Guardians of Galaxy,3.99,Marvel,63077.0,251677.23
31514089,2014,All New X-Men,3.99,Marvel,63024.0,251465.76
31514090,2014,Inhuman,3.99,Marvel,62339.0,248732.61000000002
31514091,2014,Guardians of Galaxy,3.99,Marvel,62285.0,248517.15000000002
31514092,2014,Spider-Man and X-Men,3.99,Marvel,61952.0,247188.48
31514093,2014,Deadpool Vs. Carnage,3.99,Marvel,61740.0,246342.6
31514094,2014,Guardians of Galaxy,3.99,Marvel,61547.0,245572.53
31514095,2014,Angela Asgards Assassin,3.99,Marvel,61398.0,244978.02000000002
31514096,2014,Captain America and Mighty Avengers,3.99,Marvel,60824.0,242687.76
31514097,2014,Avengers,4.99,Marvel,60745.0,303117.55
31514098,2014,Superior Spider-Man Annual,4.99,Marvel,60475.0,301770.25
31514099,2014,All New X-Men,3.99,Marvel,60171.0,240082.29
315140100,2014,Avengers,3.99,Marvel,60056.0,239623.44
315140101,2014,All New X-Men,3.99,Marvel,59893.0,238973.07
315140102,2014,Avengers,3.99,Marvel,59781.0,238526.19
315140103,2014,Punisher,3.99,Marvel,59332.0,236734.68000000002
315140104,2014,Black Widow,3.99,Marvel,59099.0,235805.01
315140105,2014,Deadpool,4.99,Marvel,59006.0,294439.94
315140106,2014,Guardians of Galaxy,3.99,Marvel,58820.0,234691.80000000002
315140107,2014,All New X-Men,3.99,Marvel,58778.0,234524.22
315140108,2014,Guardians 3000,3.99,Marvel,58745.0,234392.55000000002
315140109,2014,Uncanny X-Men,3.99,Marvel,58670.0,234093.30000000002
315140110,2014,Uncanny X-Men,3.99,Marvel,58377.0,232924.23
315140111,2014,All New X-Men,3.99,Marvel,58367.0,232884.33000000002
315140112,2014,All New X-Men,3.99,Marvel,58212.0,232265.88
315140113,2014,Rocket Raccoon,3.99,Marvel,58158.0,232050.42
315140114,2014,Uncanny X-Men,4.99,Marvel,58028.0,289559.72000000003
315140115,2014,All New Invaders,3.99,Marvel,57953.0,231232.47
315140116,2014,Guardians of Galaxy,4.99,Marvel,57636.0,287603.64
315140117,2014,All New X-Men,3.99,Marvel,57569.0,229700.31000000003
315140118,2014,Guardians of Galaxy,3.99,Marvel,57328.0,228738.72
315140119,2014,Iron Fist Living Weapon,3.99,Marvel,57134.0,227964.66
315140120,2014,Avengers,3.99,Marvel,56897.0,227019.03
315140121,2014,Avengers,3.99,Marvel,56635.0,225973.65000000002
315140122,2014,Guardians of Galaxy,3.99,Marvel,56440.0,225195.6
315140123,2014,Origin II,3.99,Marvel,56292.0,224605.08000000002
315140124,2014,Uncanny X-Men,3.99,Marvel,56288.0,224589.12000000002
315140125,2014,Thor God of Thunder,4.99,Marvel,56217.0,280522.83
315140126,2014,Uncanny X-Men,3.99,Marvel,56122.0,223926.78
315140127,2014,Guardians of Galaxy,3.99,Marvel,55764.0,222498.36000000002
315140128,2014,Wolverine and X-Men,3.99,Marvel,55563.0,221696.37000000002
315140129,2014,Uncanny Avengers,3.99,Marvel,55525.0,221544.75
315140130,2014,Deadpool,3.99,Marvel,55502.0,221452.98
315140131,2014,Avengers World,3.99,Marvel,55501.0,221448.99000000002
315140132,2014,Rocket Raccoon,3.99,Marvel,55423.0,221137.77000000002
315140133,2014,Guardians of Galaxy,3.99,Marvel,55381.0,220970.19
315140134,2014,Uncanny X-Men,3.99,Marvel,55333.0,220778.67
315140135,2014,Deadpool Vs. X-Force,3.99,Marvel,55312.0,220694.88
315140136,2014,Edge of Spider-Verse,3.99,Marvel,55270.0,220527.30000000002
315140137,2014,Avengers,3.99,Marvel,55248.0,220439.52000000002
315140138,2014,All New X-Men,3.99,Marvel,55029.0,219565.71000000002
315140139,2014,Deadpool,3.99,Marvel,54990.0,219410.1
315140140,2014,Uncanny X-Men,3.99,Marvel,54979.0,219366.21000000002
315140141,2014,Miracleman,5.99,Marvel,54908.0,328898.92
315140142,2014,Uncanny X-Men,3.99,Marvel,54843.0,218823.57
315140143,2014,Avengers,3.99,Marvel,54694.0,218229.06
315140144,2014,All New Ghost Rider,3.99,Marvel,54582.0,217782.18000000002
315140145,2014,Uncanny X-Men,3.99,Marvel,54490.0,217415.1
315140146,2014,Avengers,3.99,Marvel,54475.0,217355.25
315140147,2014,All New X-Men,3.99,Marvel,54283.0,216589.17
315140148,2014,Uncanny Avengers,3.99,Marvel,54235.0,216397.65000000002
315140149,2014,Amazing X-Men,3.99,Marvel,53965.0,215320.35
315140150,2014,Uncanny Avengers,3.99,Marvel,53579.0,213780.21000000002
315140151,2014,Uncanny X-Men,3.99,Marvel,53502.0,213472.98
315140152,2014,Uncanny Avengers,3.99,Marvel,53487.0,213413.13
315140153,2014,Edge of Spider-Verse,3.99,Marvel,53403.0,213077.97
315140154,2014,Rocket Raccoon,3.99,Marvel,53294.0,212643.06
315140155,2014,Deadpool Vs. Carnage,3.99,Marvel,53206.0,212291.94
315140156,2014,Avengers,3.99,Marvel,53163.0,212120.37000000002
315140157,2014,Avengers,3.99,Marvel,53011.0,211513.89
315140158,2014,Wolverine,5.99,Marvel,52962.0,317242.38
315140159,2014,X-Men,3.99,Marvel,52758.0,210504.42
315140160,2014,Nightcrawler,3.99,Marvel,52665.0,210133.35
315140161,2014,Uncanny Avengers,3.99,Marvel,52651.0,210077.49000000002
315140162,2014,Avengers,3.99,Marvel,52633.0,210005.67
315140163,2014,Guardians of Galaxy,3.99,Marvel,52470.0,209355.30000000002
315140164,2014,Uncanny X-Men,3.99,Marvel,52403.0,209087.97
315140165,2014,Original Sin Annual,4.99,Marvel,52334.0,261146.66
315140166,2014,Deadpool,3.99,Marvel,52077.0,207787.23
315140167,2014,Uncanny X-Men,3.99,Marvel,52015.0,207539.85
315140168,2014,Edge of Spider-Verse,3.99,Marvel,51926.0,207184.74000000002
315140169,2014,Guardians of Galaxy Annual,4.99,Marvel,51828.0,258621.72
315140170,2014,Origin II,3.99,Marvel,51514.0,205540.86000000002
315140171,2014,Uncanny Avengers,3.99,Marvel,51511.0,205528.89
315140172,2014,Uncanny Avengers,3.99,Marvel,51481.0,205409.19
315140173,2014,Inhuman,3.99,Marvel,51017.0,203557.83000000002
315140174,2014,Wolverine,3.99,Marvel,51001.0,203493.99000000002
315140175,2014,Night of Living Deadpool,3.99,Marvel,50869.0,202967.31
315140176,2014,New Avengers,3.99,Marvel,50650.0,202093.5
315140177,2014,Wolverine,3.99,Marvel,50628.0,202005.72
315140178,2014,Original Sin,3.99,Marvel,50596.0,201878.04
315140179,2014,Deadpool,3.99,Marvel,50553.0,201706.47
315140180,2014,Deadpool,3.99,Marvel,50336.0,200840.64
315140181,2014,Uncanny Avengers,3.99,Marvel,50302.0,200704.98
315140182,2014,Death of Wolverine Logan Legacy,3.99,Marvel,50277.0,200605.23
315140183,2014,She-Hulk,2.99,Marvel,50168.0,150002.32
315140184,2014,Uncanny Avengers,3.99,Marvel,50164.0,200154.36000000002
315140185,2014,All New Captain America,3.99,Marvel,50077.0,199807.23
315140186,2014,X-Men,3.99,Marvel,50042.0,199667.58000000002
315140187,2014,Deadpool,2.99,Marvel,50037.0,149610.63
315140188,2014,Spider-Man 2099,3.99,Marvel,49999.0,199496.01
315140189,2014,Miles Morales Ultimate Spider-Man,3.99,Marvel,49926.0,199204.74000000002
315140190,2014,Avengers,3.99,Marvel,49861.0,198945.39
315140191,2014,Wolverine,3.99,Marvel,49738.0,198454.62000000002
315140192,2014,Deadpool Vs. Carnage,3.99,Marvel,49580.0,197824.2
315140193,2014,Ms Marvel,2.99,Marvel,49269.0,147314.31
315140194,2014,Elektra,3.99,Marvel,49218.0,196379.82
315140195,2014,Thanos Annual,4.99,Marvel,49145.0,245233.55000000002
315140196,2014,New Avengers,3.99,Marvel,49094.0,195885.06
315140197,2014,New Warriors,3.99,Marvel,48994.0,195486.06
315140198,2014,Daredevil,4.99,Marvel,48947.0,244245.53
315140199,2014,Death of Wolverine Deadpool and Captain America,4.99,Marvel,48936.0,244190.64
315140200,2014,Amazing X-Men,3.99,Marvel,48894.0,195087.06
315140201,2014,Storm,3.99,Marvel,48883.0,195043.17
315140202,2014,Hawkeye Vs. Deadpool,3.99,Marvel,48612.0,193961.88
315140203,2014,Cyclops,3.99,Marvel,48585.0,193854.15000000002
315140204,2014,All New X-Factor,3.99,Marvel,48512.0,193562.88
315140205,2014,Original Sin,3.99,Marvel,48403.0,193127.97
315140206,2014,Moon Knight,3.99,Marvel,48394.0,193092.06
315140207,2014,X-Men,3.99,Marvel,48332.0,192844.68000000002
315140208,2014,X-Force,3.99,Marvel,48247.0,192505.53
315140209,2014,Origin II,3.99,Marvel,48082.0,191847.18000000002
315140210,2014,Captain Marvel,3.99,Marvel,48037.0,191667.63
315140211,2014,Deadpool Vs. Carnage,3.99,Marvel,48023.0,191611.77000000002
315140212,2014,Original Sin,3.99,Marvel,47971.0,191404.29
315140213,2014,Wolverine,3.99,Marvel,47545.0,189704.55000000002
315140214,2014,Deadpool,3.99,Marvel,47510.0,189564.90000000002
315140215,2014,Deadpool,3.99,Marvel,47493.0,189497.07
315140216,2014,Hawkeye Vs. Deadpool,4.99,Marvel,47447.0,236760.53
315140217,2014,New Avengers,3.99,Marvel,47347.0,188914.53
315140218,2014,Bucky Barnes Winter Soldier,3.99,Marvel,47344.0,188902.56
315140219,2014,Loki Agent of Asgard,2.99,Marvel,47259.0,141304.41
315140220,2014,Death of Wolverine Logan Legacy,3.99,Marvel,47246.0,188511.54
315140221,2014,Avengers,3.99,Marvel,47062.0,187777.38
315140222,2014,Uncanny Avengers Annual,4.99,Marvel,46744.0,233252.56
315140223,2014,New Avengers,4.99,Marvel,46731.0,233187.69
315140224,2014,Deadpool,3.99,Marvel,46625.0,186033.75
315140225,2014,New Avengers,3.99,Marvel,46565.0,185794.35
315140226,2014,Amazing X-Men,3.99,Marvel,46515.0,185594.85
315140227,2014,100th Anniversary Special: Spider-Man,3.99,Marvel,46304.0,184752.96000000002
315140228,2014,Avengers,4.99,Marvel,46114.0,230108.86000000002
315140229,2014,Wolverine,3.99,Marvel,46055.0,183759.45
315140230,2014,New Avengers,3.99,Marvel,46035.0,183679.65000000002
315140231,2014,Uncanny X-Men Special,4.99,Marvel,45893.0,229006.07
315140232,2014,Moon Knight,3.99,Marvel,45834.0,182877.66
315140233,2014,Deadpool Vs. X-Force,3.99,Marvel,45671.0,182227.29
315140234,2014,Deadpool,2.99,Marvel,45266.0,135345.34
315140235,2014,X-Men,3.99,Marvel,45102.0,179956.98
315140236,2014,Amazing X-Men,3.99,Marvel,45010.0,179589.90000000002
