Character_ID,Date,Character_Name,Total
0,2019,Apocalypse,114377.34000000001
1,2019,Black Panther,269301.06
2,2019,Black Widow,292335.33
3,2019,Captain America,1804699.9900000002
4,2019,Daredevil,2345747.2
5,2019,Deadpool,2310011.14
6,2019,Doctor Strange,980378.8
7,2019,Domino,153036.45
8,2019,Exodus,125385.75
9,2019,Hulk,6475769.48
10,2019,Iron Man,1587018.5100000002
11,2019,Loki,211426.11000000002
12,2019,Marauders,1045462.87
13,2019,Nightcrawler,129874.5
14,2019,Spider-Man,19773579.359999996
15,2019,Thanos,1014539.2700000001
16,2019,Thor,2312026.5900000003
17,2019,Vision,813238.39
18,2019,Wolverine,1869270.1500000001
19,2019,X-23,313195.05000000005
20,2019,X-Men,6825621.369999999
21,2019,Avengers,7439616.56
22,2019,Ghost Rider,1818115.6700000002
23,2019,Venom,4907493.330000001
24,2019,Guardians of the Galaxy,2699146.440000001
25,2019,Logan,993282.57
26,2019,Fantastic Four,2903636.15
27,2019,Punisher,587464.59
