Comic_ID,Publish Date,Comic-book Title,Price,Publisher,Est. units,Total
0,2009,Amazing Spider-Man,3.99,Marvel,530500.0,2116695.0
1,2009,Captain America Reborn,3.99,Marvel,199900.0,797601.0
2,2009,Captain America,4.99,Marvel,136800.0,682632.0
3,2009,Dark Avengers,3.99,Marvel,136500.0,544635.0
4,2009,Captain America Reborn,3.99,Marvel,128000.0,510720.0
5,2009,Amazing Spider-Man,4.99,Marvel,125800.0,627742.0
6,2009,New Avengers,4.99,Marvel,110100.0,549399.0
7,2009,Captain America Reborn,3.99,Marvel,109500.0,436905.0
8,2009,Dark Avengers,3.99,Marvel,105300.0,420147.0
9,2009,Dark Avengers,3.99,Marvel,103700.0,413763.0
10,2009,Dark Avengers Uncanny X-Men Utopia,3.99,Marvel,103500.0,412965.0
11,2009,Dark Avengers,3.99,Marvel,102200.0,407778.0
12,2009,Ultimate Comics Avengers,3.99,Marvel,101500.0,404985.0
13,2009,Thor,4.99,Marvel,100300.0,500497.0
14,2009,Wolverine Weapon X,3.99,Marvel,99600.0,397404.0
15,2009,Dark Avengers,3.99,Marvel,97300.0,388227.0
16,2009,Captain America Reborn,3.99,Marvel,96900.0,386631.0
17,2009,Dark Avengers,3.99,Marvel,96400.0,384636.0
18,2009,Incredible Hulk,4.99,Marvel,95900.0,478541.0
19,2009,New Avengers,3.99,Marvel,95800.0,382242.0
20,2009,Dark Avengers,3.99,Marvel,95600.0,381444.0
21,2009,Wolverine Giant-Size Old Man Logan,4.99,Marvel,95600.0,477044.0
22,2009,New Avengers,3.99,Marvel,95400.0,380646.0
23,2009,Dark Avengers,3.99,Marvel,94900.0,378651.0
24,2009,New Avengers,3.99,Marvel,94300.0,376257.0
25,2009,Ultimate Comics Spider-Man,3.99,Marvel,94100.0,375459.0
26,2009,New Avengers,3.99,Marvel,93900.0,374661.0
27,2009,Uncanny X-Men,3.99,Marvel,93500.0,373065.0
28,2009,Wolverine,2.99,Marvel,93400.0,279266.0
29,2009,Wolverine,2.99,Marvel,92200.0,275678.0
30,2009,New Avengers,3.99,Marvel,92100.0,367479.0
31,2009,Captain America Reborn,3.99,Marvel,91800.0,366282.0
32,2009,New Avengers,3.99,Marvel,90700.0,361893.0
33,2009,Marvels Project,3.99,Marvel,90200.0,359898.0
34,2009,Captain America,3.99,Marvel,90000.0,359100.0
35,2009,Ultimatum,3.99,Marvel,89300.0,356307.0
36,2009,Uncanny X-Men,3.99,Marvel,88700.0,353913.0
37,2009,Ultimatum,3.99,Marvel,88600.0,353514.0
38,2009,Hulk,3.99,Marvel,87600.0,349524.0
39,2009,Ultimatum,3.99,Marvel,86500.0,345135.0
40,2009,New Avengers,3.99,Marvel,86000.0,343140.0
41,2009,Wolverine,2.99,Marvel,85700.0,256243.00000000003
42,2009,New Avengers,3.99,Marvel,85400.0,340746.0
43,2009,Thor,3.99,Marvel,83900.0,334761.0
44,2009,Dark Wolverine,3.99,Marvel,82900.0,330771.0
45,2009,Dark Avengers,3.99,Marvel,81400.0,324786.0
46,2009,Captain America Reborn Who Will Wield the Shield,3.99,Marvel,80800.0,322392.0
47,2009,Hulk,3.99,Marvel,79900.0,318801.0
48,2009,Uncanny X-Men,2.99,Marvel,79200.0,236808.00000000003
49,2009,Hulk,3.99,Marvel,79200.0,316008.0
50,2009,Uncanny X-Men,2.99,Marvel,78200.0,233818.00000000003
51,2009,Dark Avengers Uncanny X-Men Exodus,3.99,Marvel,77900.0,310821.0
52,2009,Amazing Spider-Man,2.99,Marvel,77400.0,231426.00000000003
53,2009,New Avengers,3.99,Marvel,77300.0,308427.0
54,2009,Uncanny X-Men,3.99,Marvel,77200.0,308028.0
55,2009,Mighty Avengers,3.99,Marvel,76800.0,306432.0
56,2009,Daredevil,4.99,Marvel,76700.0,382733.0
57,2009,Dark Avengers,3.99,Marvel,75900.0,302841.0
58,2009,Dark Wolverine,2.99,Marvel,74900.0,223951.00000000003
59,2009,Hulk,3.99,Marvel,74900.0,298851.0
60,2009,New Avengers,3.99,Marvel,74900.0,298851.0
61,2009,X-Men Legacy,2.99,Marvel,74700.0,223353.00000000003
62,2009,Dark X-Men Beginning,3.99,Marvel,74300.0,296457.0
63,2009,Uncanny X-Men,2.99,Marvel,74200.0,221858.00000000003
64,2009,Mighty Avengers,2.99,Marvel,74200.0,221858.00000000003
65,2009,Uncanny X-Men,2.99,Marvel,74200.0,221858.00000000003
66,2009,Uncanny X-Men,2.99,Marvel,74100.0,221559.00000000003
67,2009,Captain America,2.99,Marvel,74000.0,221260.00000000003
68,2009,Amazing Spider-Man,2.99,Marvel,73900.0,220961.00000000003
69,2009,Amazing Spider-Man,2.99,Marvel,73900.0,220961.00000000003
70,2009,Ultimate Wolverine vs. Hulk,2.99,Marvel,73800.0,220662.00000000003
71,2009,Uncanny X-Men,2.99,Marvel,73400.0,219466.00000000003
72,2009,Astonishing X-Men,2.99,Marvel,73300.0,219167.00000000003
73,2009,Captain America,3.99,Marvel,73000.0,291270.0
74,2009,Dark Avengers,3.99,Marvel,72800.0,290472.0
75,2009,New Avengers,3.99,Marvel,72800.0,290472.0
76,2009,Amazing Spider-Man,2.99,Marvel,72500.0,216775.00000000003
77,2009,Mighty Avengers,2.99,Marvel,72300.0,216177.00000000003
78,2009,Uncanny X-Men,2.99,Marvel,72200.0,215878.00000000003
79,2009,Amazing Spider-Man,2.99,Marvel,72100.0,215579.00000000003
80,2009,Hulk,3.99,Marvel,71600.0,285684.0
81,2009,Ultimate Comics Avengers,3.99,Marvel,71500.0,285285.0
82,2009,Thor,3.99,Marvel,71400.0,284886.0
83,2009,Amazing Spider-Man,2.99,Marvel,71400.0,213486.00000000003
84,2009,Amazing Spider-Man,3.99,Marvel,70700.0,282093.0
85,2009,Amazing Spider-Man,2.99,Marvel,70500.0,210795.00000000003
86,2009,Amazing Spider-Man,2.99,Marvel,70300.0,210197.00000000003
87,2009,Uncanny X-Men,2.99,Marvel,70300.0,210197.00000000003
88,2009,Uncanny X-Men,2.99,Marvel,70000.0,209300.00000000003
89,2009,Dark Avengers,3.99,Marvel,69800.0,278502.0
90,2009,Dark Wolverine,2.99,Marvel,68900.0,206011.00000000003
91,2009,Mighty Avengers,2.99,Marvel,68600.0,205114.00000000003
92,2009,Uncanny X-Men,2.99,Marvel,68600.0,205114.00000000003
93,2009,Astonishing X-Men,2.99,Marvel,68500.0,204815.00000000003
94,2009,Astonishing X-Men,2.99,Marvel,67800.0,202722.0
95,2009,Siege Cabal,3.99,Marvel,67700.0,270123.0
96,2009,Amazing Spider-Man,2.99,Marvel,67600.0,202124.0
97,2009,Amazing Spider-Man,2.99,Marvel,67500.0,201825.0
98,2009,Uncanny X-Men,2.99,Marvel,67000.0,200330.0
99,2009,Amazing Spider-Man,2.99,Marvel,66500.0,198835.0
100,2009,Wolverine,2.99,Marvel,66300.0,198237.0
101,2009,Amazing Spider-Man,2.99,Marvel,65900.0,197041.0
102,2009,Thor,3.99,Marvel,65800.0,262542.0
103,2009,Amazing Spider-Man,2.99,Marvel,65500.0,195845.0
104,2009,Astonishing X-Men,2.99,Marvel,65200.0,194948.0
105,2009,Mighty Avengers,2.99,Marvel,65100.0,194649.0
106,2009,Dark Reign List Avengers One Shot,3.99,Marvel,65100.0,259749.0
107,2009,Incredible Hulk,3.99,Marvel,65000.0,259350.0
108,2009,Ultimate Wolverine vs. Hulk,2.99,Marvel,64900.0,194051.0
109,2009,Mighty Avengers,2.99,Marvel,64900.0,194051.0
110,2009,Fantastic Four,2.99,Marvel,64600.0,193154.0
111,2009,Captain America,2.99,Marvel,64600.0,193154.0
112,2009,Amazing Spider-Man,2.99,Marvel,64300.0,192257.0
113,2009,Amazing Spider-Man,2.99,Marvel,64200.0,191958.0
114,2009,Captain America,2.99,Marvel,63900.0,191061.0
115,2009,X-Men Legacy,2.99,Marvel,63700.0,190463.0
116,2009,Amazing Spider-Man,2.99,Marvel,63700.0,190463.0
117,2009,Amazing Spider-Man,2.99,Marvel,63700.0,190463.0
118,2009,Ultimate Comics Avengers,3.99,Marvel,63700.0,254163.0
119,2009,Ultimate Wolverine vs. Hulk,2.99,Marvel,63600.0,190164.0
120,2009,Amazing Spider-Man,2.99,Marvel,63600.0,190164.0
121,2009,Uncanny X-Men Annual,3.99,Marvel,63600.0,253764.0
122,2009,Mighty Avengers,2.99,Marvel,63500.0,189865.0
123,2009,Captain America,2.99,Marvel,63300.0,189267.0
124,2009,X-Force,2.99,Marvel,63300.0,189267.0
125,2009,X-Force Cable Messiah War Prologue,3.99,Marvel,63300.0,252567.0
126,2009,Amazing Spider-Man,3.99,Marvel,63000.0,251370.0
127,2009,X-Force,2.99,Marvel,62300.0,186277.0
128,2009,Astonishing X-Men,2.99,Marvel,62200.0,185978.0
129,2009,Amazing Spider-Man,3.99,Marvel,61900.0,246981.0
130,2009,New Mutants,3.99,Marvel,61900.0,246981.0
131,2009,X-Men Legacy,2.99,Marvel,61800.0,184782.0
132,2009,Invincible Iron Man,3.99,Marvel,61700.0,246183.0
133,2009,Deadpool Merc With A Mouth,3.99,Marvel,61700.0,246183.0
134,2009,Mighty Avengers,2.99,Marvel,61600.0,184184.0
135,2009,Deadpool,2.99,Marvel,61600.0,184184.0
136,2009,Thor,2.99,Marvel,61600.0,184184.0
137,2009,Fall of Hulks Alpha,3.99,Marvel,61600.0,245784.0
138,2009,Amazing Spider-Man,2.99,Marvel,61500.0,183885.0
139,2009,New Avengers Annual,4.99,Marvel,61400.0,306386.0
140,2009,Amazing Spider-Man,2.99,Marvel,61200.0,182988.0
141,2009,War of Kings,3.99,Marvel,60900.0,242991.0
142,2009,Dark Wolverine,2.99,Marvel,60900.0,182091.0
143,2009,Wolverine Weapon X,3.99,Marvel,60700.0,242193.0
144,2009,X-Men Legacy,2.99,Marvel,60600.0,181194.0
145,2009,Amazing Spider-Man,2.99,Marvel,60600.0,181194.0
146,2009,Amazing Spider-Man,2.99,Marvel,60500.0,180895.0
