Units,Dollars,Comic-book Title,Issue,Price,Publisher,Est. units
1,1,Amazing Spider-Man,1,$5.99,Marvel,"559,217"
3,3,Rocket Raccoon,1,$3.99,Marvel,"310,990"
4,2,Death of Wolverine,1,$4.99,Marvel,"274,022"
5,6,Death of Wolverine,4,$4.99,Marvel,"170,839"
6,11,Thor,1,$3.99,Marvel,"166,217"
7,7,Original Sin,1,$4.99,Marvel,"154,773"
8,12,Death of Wolverine,2,$4.99,Marvel,"148,930"
9,14,Death of Wolverine,3,$4.99,Marvel,"147,240"
10,4,Superior Spider-Man,31,$5.99,Marvel,"141,818"
11,8,Avengers and X-Men Axis,1,$4.99,Marvel,"140,459"
12,19,Amazing Spider-Man,2,$3.99,Marvel,"137,680"
13,10,Amazing Spider-Man,9,$4.99,Marvel,"135,692"
16,23,All New Captain America,1,$3.99,Marvel,"123,597"
17,22,Amazing Spider-Man,4,$3.99,Marvel,"123,089"
21,24,Amazing Spider-Man,1.1,$3.99,Marvel,"118,448"
24,26,Amazing Spider-Man,7,$3.99,Marvel,"116,999"
25,30,Amazing Spider-Man,3,$3.99,Marvel,"115,513"
34,45,Original Sin,2,$3.99,Marvel,"105,582"
35,138,Avengers,35,$4.99,Marvel,"105,509"
36,41,Amazing Spider-Man,5,$3.99,Marvel,"105,114"
37,42,Amazing Spider-Man,11,$3.99,Marvel,"104,739"
38,44,Amazing Spider-Man,10,$3.99,Marvel,"102,364"
39,43,Amazing Spider-Man,8,$3.99,Marvel,"101,316"
41,50,Original Sin,3,$3.99,Marvel,"99,783"
42,49,Spider-Man 2099,1,$3.99,Marvel,"98,632"
45,54,Spider-Woman,1,$3.99,Marvel,"96,778"
46,53,Amazing Spider-Man,6,$3.99,Marvel,"96,272"
48,57,Original Sin,4,$3.99,Marvel,"95,551"
51,35,Shield,1,$4.99,Marvel,"94,503"
52,59,Original Sin,5,$3.99,Marvel,"94,287"
53,73,Wolverine,1,$3.99,Marvel,"94,279"
56,60,Original Sin,7,$3.99,Marvel,"93,187"
57,63,Thor,2,$3.99,Marvel,"92,657"
59,64,Original Sin,6,$3.99,Marvel,"91,697"
60,36,Original Sin,8,$4.99,Marvel,"90,777"
63,67,Avengers and X-Men Axis,2,$3.99,Marvel,"90,371"
64,80,Superior Spider-Man,27.NOW,$3.99,Marvel,"89,258"
66,39,Superior Spider-Man,32,$4.99,Marvel,"89,079"
67,99,Avengers World,1,$3.99,Marvel,"88,948"
68,61,Legendary Star Lord,1,$3.99,Marvel,"88,795"
70,74,Avengers and X-Men Axis,3,$3.99,Marvel,"87,751"
71,70,Superior Iron Man,1,$3.99,Marvel,"87,725"
73,68,Amazing Spider-Man,1.2,$3.99,Marvel,"87,358"
74,78,Superior Spider-Man,30,$3.99,Marvel,"87,229"
77,48,Original Sin,0,$4.99,Marvel,"85,761"
86,47,Superior Spider-Man,25,$4.99,Marvel,"80,964"
87,104,All New X-Men,22.NOW,$3.99,Marvel,"80,204"
88,94,Avengers and X-Men Axis,4,$3.99,Marvel,"79,963"
91,129,Daredevil,1,$3.99,Marvel,"78,620"
94,100,Superior Spider-Man,28,$3.99,Marvel,"78,137"
95,101,Superior Spider-Man,29,$3.99,Marvel,"77,638"
99,105,Superior Spider-Man,26,$3.99,Marvel,"76,544"
100,109,Avengers and X-Men Axis,5,$3.99,Marvel,"76,463"
101,88,Hulk,1,$3.99,Marvel,"76,364"
104,55,Captain America,25,$4.99,Marvel,"75,583"
106,313,Ms Marvel,1,$2.99,Marvel,"75,280"
109,116,Avengers and X-Men Axis,6,$3.99,Marvel,"74,868"
110,114,Amazing Spider-Man,1.3,$3.99,Marvel,"74,743"
113,62,Superior Spider-Man,33,$4.99,Marvel,"73,916"
116,113,Death of Wolverine Logan Legacy,1,$3.99,Marvel,"73,236"
120,122,Thor,3,$3.99,Marvel,"72,563"
122,66,Spider-Verse,1,$4.99,Marvel,"72,295"
124,196,Moon Knight,1,$3.99,Marvel,"72,092"
127,167,Silver Surfer,1,$3.99,Marvel,"71,355"
128,69,Amazing Spider-Man Annual,1,$4.99,Marvel,"71,284"
129,118,Amazing Spider-Man,1.4,$3.99,Marvel,"71,167"
132,132,Avengers and X-Men Axis,7,$3.99,Marvel,"70,194"
134,131,Edge of Spider-Verse,2,$3.99,Marvel,"70,107"
140,79,Avengers and X-Men Axis,9,$4.99,Marvel,"69,518"
141,135,Avengers and X-Men Axis,8,$3.99,Marvel,"69,449"
143,160,Fantastic Four,1,$3.99,Marvel,"68,963"
153,142,Origin II,2,$3.99,Marvel,"67,379"
155,144,All New X-Men,23,$3.99,Marvel,"67,129"
156,161,Guardians of Galaxy,11.NOW,$3.99,Marvel,"66,977"
162,150,Avengers,25,$3.99,Marvel,"66,213"
166,963,Winter Soldier Bitter March,1,$3.99,Marvel,"65,731"
173,186,Uncanny X-Men,19.NOW,$3.99,Marvel,"65,286"
175,140,Guardians of Galaxy,17,$3.99,Marvel,"65,197"
182,159,Amazing Spider-Man,1.5,$3.99,Marvel,"64,772"
185,13,Deadpool,27,$9.99,Marvel,"64,557"
186,166,All New X-Men,24,$3.99,Marvel,"64,477"
188,90,All New X-Men,25,$4.99,Marvel,"64,343"
190,195,Uncanny Avengers,18.NOW,$3.99,Marvel,"64,283"
192,169,Rocket Raccoon,2,$3.99,Marvel,"63,877"
194,224,Magneto,1,$3.99,Marvel,"63,840"
196,172,Edge of Spider-Verse,1,$3.99,Marvel,"63,591"
199,173,All New X-Men,27,$3.99,Marvel,"63,384"
201,163,Uncanny X-Men,23,$3.99,Marvel,"63,312"
203,174,Guardians of Galaxy,21,$3.99,Marvel,"63,077"
204,175,All New X-Men,21,$3.99,Marvel,"63,024"
209,182,Inhuman,1,$3.99,Marvel,"62,339"
210,181,Guardians of Galaxy,18,$3.99,Marvel,"62,285"
211,183,Spider-Man and X-Men,1,$3.99,Marvel,"61,952"
213,179,Deadpool Vs. Carnage,1,$3.99,Marvel,"61,740"
215,188,Guardians of Galaxy,20,$3.99,Marvel,"61,547"
217,191,Angela Asgards Assassin,1,$3.99,Marvel,"61,398"
220,180,Captain America and Mighty Avengers,1,$3.99,Marvel,"60,824"
221,111,Avengers,29,$4.99,Marvel,"60,745"
222,112,Superior Spider-Man Annual,2,$4.99,Marvel,"60,475"
224,201,All New X-Men,26,$3.99,Marvel,"60,171"
226,202,Avengers,30,$3.99,Marvel,"60,056"
227,206,All New X-Men,33,$3.99,Marvel,"59,893"
229,205,Avengers,26,$3.99,Marvel,"59,781"
233,307,Punisher,1,$3.99,Marvel,"59,332"
236,325,Black Widow,1,$3.99,Marvel,"59,099"
238,125,Deadpool,34,$4.99,Marvel,"59,006"
239,209,Guardians of Galaxy,12,$3.99,Marvel,"58,820"
240,208,All New X-Men,29,$3.99,Marvel,"58,778"
241,200,Guardians 3000,1,$3.99,Marvel,"58,745"
243,211,Uncanny X-Men,16,$3.99,Marvel,"58,670"
248,219,Uncanny X-Men,27,$3.99,Marvel,"58,377"
249,216,All New X-Men,28,$3.99,Marvel,"58,367"
250,222,All New X-Men,31,$3.99,Marvel,"58,212"
251,220,Rocket Raccoon,4,$3.99,Marvel,"58,158"
254,121,Uncanny X-Men,25,$4.99,Marvel,"58,028"
256,297,All New Invaders,1,$3.99,Marvel,"57,953"
259,123,Guardians of Galaxy,14,$4.99,Marvel,"57,636"
261,230,All New X-Men,34,$3.99,Marvel,"57,569"
264,233,Guardians of Galaxy,13,$3.99,Marvel,"57,328"
266,235,Iron Fist Living Weapon,1,$3.99,Marvel,"57,134"
269,236,Avengers,36,$3.99,Marvel,"56,897"
