Units,Comic-book Title,Issue,Price,Publisher,Est. units
2,Civil War II,1,$5.99,Marvel,"391,526"
4,Champions,1,$4.99,Marvel,"334,937"
8,Black Panther,1,$4.99,Marvel,"286,755"
12,Civil War II,0,$4.99,Marvel,"190,028"
13,Civil War II,3,$4.99,Marvel,"185,949"
14,Amazing Spider-Man,16,$3.99,Marvel,"185,342"
16,Spider-Man Deadpool,1,$3.99,Marvel,"181,091"
20,Star Wars Poe Dameron,1,$4.99,Marvel,"175,322"
23,IVX,1,$5.99,Marvel,"167,703"
24,Star Wars Han Solo,1,$3.99,Marvel,"159,481"
26,Civil War II,2,$4.99,Marvel,"155,420"
29,Doctor Strange Sorcerers Supreme,1,$3.99,Marvel,"149,710"
30,Secret Wars,9,$4.99,Marvel,"149,028"
33,Captain America Steve Rogers,1,$4.99,Marvel,"140,222"
42,Civil War II,4,$4.99,Marvel,"126,865"
48,Star Wars Special C-3PO,1,$4.99,Marvel,"120,841"
49,Civil War II,5,$4.99,Marvel,"120,208"
53,Civil War II,6,$4.99,Marvel,"118,625"
54,Star Wars,14,$3.99,Marvel,"118,471"
58,Civil War II,7,$4.99,Marvel,"116,447"
67,Darth Vader,25,$5.99,Marvel,"111,381"
69,Punisher,1,$3.99,Marvel,"110,726"
70,Star Wars,16,$3.99,Marvel,"110,407"
73,Star Wars,15,$3.99,Marvel,"107,858"
74,Star Wars,17,$3.99,Marvel,"107,058"
76,Civil War II,8,$4.99,Marvel,"105,658"
78,Star Wars,26,$3.99,Marvel,"104,563"
79,Spider-Man,1,$3.99,Marvel,"104,425"
80,Old Man Logan,1,$4.99,Marvel,"104,362"
84,Obi-Wan and Anakin,1,$3.99,Marvel,"102,861"
87,Black Panther,2,$3.99,Marvel,"102,366"
92,Gwenpool,1,$4.99,Marvel,"100,852"
99,Star Wars Doctor Aphra,1,$4.99,Marvel,"99,067"
101,Star Wars,18,$3.99,Marvel,"98,880"
102,Darth Vader,15,$3.99,Marvel,"98,405"
103,Invincible Iron Man,1,$3.99,Marvel,"97,713"
107,Amazing Spider-Man Renew Your Vows,1,$4.99,Marvel,"96,111"
108,Star Wars,20,$3.99,Marvel,"96,047"
109,Star Wars,19,$3.99,Marvel,"95,156"
114,Amazing Spider-Man,15,$3.99,Marvel,"93,582"
115,Uncanny X-Men,1,$3.99,Marvel,"93,252"
123,Star Wars,21,$3.99,Marvel,"90,863"
124,Clone Conspiracy,1,$4.99,Marvel,"90,285"
126,Deadpool Mercs For Money,1,$3.99,Marvel,"90,186"
127,Venom,1,$3.99,Marvel,"90,138"
128,Hulk,1,$3.99,Marvel,"89,810"
137,Deadpool,7,$9.99,Marvel,"88,264"
138,Amazing Spider-Man,9,$3.99,Marvel,"88,164"
141,Darth Vader,20,$4.99,Marvel,"86,641"
146,Star Wars,22,$3.99,Marvel,"85,126"
148,IVX,0,$4.99,Marvel,"84,181"
151,Black Panther,5,$3.99,Marvel,"83,756"
152,Star Wars Han Solo,2,$3.99,Marvel,"83,738"
159,Star Wars,23,$3.99,Marvel,"82,570"
163,Avengers,1,$4.99,Marvel,"81,885"
169,Invincible Iron Man,2,$3.99,Marvel,"81,271"
170,Darth Vader,16,$3.99,Marvel,"81,147"
173,Spider-Man Deadpool,2,$3.99,Marvel,"80,512"
174,Darth Vader,17,$3.99,Marvel,"80,269"
175,Star Wars Force Awakens Adaptation,1,$4.99,Marvel,"79,626"
176,Power Man and Iron Fist,1,$3.99,Marvel,"79,069"
177,Darth Vader,21,$3.99,Marvel,"79,065"
179,Deadpool Back In Black,1,$3.99,Marvel,"78,653"
180,Deadpool,13,$9.99,Marvel,"78,536"
181,Star Wars,24,$3.99,Marvel,"78,160"
184,Darth Vader,18,$3.99,Marvel,"77,942"
187,Darth Vader,22,$3.99,Marvel,"77,610"
188,Darth Vader,23,$3.99,Marvel,"77,430"
191,Darth Vader,19,$3.99,Marvel,"76,965"
194,Amazing Spider-Man,6,$3.99,Marvel,"76,517"
199,Death of X,1,$4.99,Marvel,"75,825"
201,Darth Vader,24,$3.99,Marvel,"75,401"
202,Amazing Spider-Man,7,$3.99,Marvel,"75,357"
204,Star Wars,25,$4.99,Marvel,"75,234"
205,Black Panther,3,$3.99,Marvel,"75,037"
207,Amazing Spider-Man,12,$3.99,Marvel,"74,963"
208,Captain America Steve Rogers,2,$3.99,Marvel,"74,884"
209,Amazing Spider-Man,17,$3.99,Marvel,"74,869"
213,Jessica Jones,1,$3.99,Marvel,"74,291"
214,Infamous Iron Man,1,$3.99,Marvel,"73,735"
217,Amazing Spider-Man,10,$3.99,Marvel,"73,643"
218,Spider-Man Deadpool,3,$3.99,Marvel,"73,238"
219,Amazing Spider-Man,19,$4.99,Marvel,"73,215"
221,Doctor Strange,12,$3.99,Marvel,"72,990"
226,Deadpool,8,$3.99,Marvel,"72,706"
228,Civil War II Amazing Spider-Man,1,$3.99,Marvel,"72,556"
231,Black Panther,4,$3.99,Marvel,"72,302"
236,Amazing Spider-Man,8,$3.99,Marvel,"71,599"
238,Amazing Spider-Man,18,$3.99,Marvel,"71,159"
241,Hawkeye,1,$3.99,Marvel,"70,884"
243,International Iron Man,1,$3.99,Marvel,"70,824"
246,Unworthy Thor,1,$3.99,Marvel,"70,424"
252,Spider-Man Deadpool,8,$3.99,Marvel,"69,519"
256,Star Wars Poe Dameron,2,$3.99,Marvel,"68,962"
258,Civil War II X-Men,1,$3.99,Marvel,"68,470"
262,Avengers Standoff Assault on Pleasant Hill Alpha,1,$4.99,Marvel,"68,004"
265,Deadpool,15,$3.99,Marvel,"67,822"
266,Star Wars Han Solo,3,$3.99,Marvel,"67,816"
268,Amazing Spider-Man,20,$3.99,Marvel,"67,530"
269,Amazing Spider-Man,11,$3.99,Marvel,"67,446"
275,Fallen,1,$4.99,Marvel,"66,578"
277,Moon Knight,1,$4.99,Marvel,"66,388"
279,Deadpool Vs Gambit,1,$3.99,Marvel,"65,773"
