Units,Dollars,Comic-book Title,Issue,Price,On sale,Publisher,Est. units
3,6,X-Men,1,$4.99,10/16/19,Marvel,"269,153"
4,5,Black Cat,1,$4.99,06/05/19,Marvel,"261,751"
6,4,Absolute Carnage,1,$7.99,08/07/19,Marvel,"242,402"
7,3,Marvel Comics,1000,$9.99,08/28/19,Marvel,"216,038"
8,7,House of X,1,$5.99,07/24/19,Marvel,"212,113"
9,9,Powers of X,1,$5.99,07/31/19,Marvel,"198,060"
10,10,War of Realms,1,$5.99,04/03/19,Marvel,"193,906"
12,11,Symbiote Spider-Man,1,$4.99,04/10/19,Marvel,"183,110"
13,15,Spider-Man,1,$4.99,09/18/19,Marvel,"174,186"
15,13,Powers of X,6,$5.99,10/09/19,Marvel,"160,613"
16,20,House of X,6,$4.99,10/02/19,Marvel,"160,085"
18,25,Powers of X,5,$4.99,09/25/19,Marvel,"143,772"
19,26,House of X,5,$4.99,09/18/19,Marvel,"142,622"
21,35,Silver Surfer Black,1,$3.99,06/12/19,Marvel,"141,131"
22,28,New Mutants,1,$4.99,11/06/19,Marvel,"140,762"
23,32,Powers of X,4,$4.99,09/11/19,Marvel,"136,110"
25,33,House of X,4,$4.99,09/04/19,Marvel,"131,666"
26,22,Captain Marvel,1,$4.99,02/13/19,Marvel,"129,311"
28,40,House of X,3,$4.99,08/28/19,Marvel,"127,784"
32,42,House of X,2,$4.99,08/07/19,Marvel,"123,986"
33,44,Savage Avengers,1,$4.99,05/01/19,Marvel,"122,328"
34,43,Powers of X,2,$4.99,08/14/19,Marvel,"122,188"
38,61,X-Men,2,$3.99,11/13/19,Marvel,"117,969"
40,14,Amazing Spider-Man,25,$7.99,07/10/19,Marvel,"117,168"
41,39,Guardians of the Galaxy,1,$4.99,02/27/19,Marvel,"117,053"
43,51,Powers of X,3,$4.99,08/21/19,Marvel,"116,560"
44,65,Amazing Mary Jane,1,$3.99,10/23/19,Marvel,"116,476"
46,46,Conan The Barbarian,1,$4.99,01/02/19,Marvel,"110,805"
49,56,X-Force,1,$4.99,11/06/19,Marvel,"108,497"
50,53,Absolute Carnage,5,$4.99,11/20/19,Marvel,"107,349"
51,76,Star Wars Galaxys Edge,1,$3.99,04/24/19,Marvel,"107,337"
53,79,X-Men,3,$3.99,12/04/19,Marvel,"105,708"
54,70,Absolute Carnage,2,$4.99,08/28/19,Marvel,"104,341"
55,64,Absolute Carnage,4,$4.99,10/16/19,Marvel,"100,213"
57,66,Absolute Carnage,3,$4.99,09/18/19,Marvel,"98,728"
58,90,Ghost Rider,1,$4.99,10/02/19,Marvel,"97,019"
60,83,Immortal Hulk,16,$3.99,04/03/19,Marvel,"94,884"
62,89,Amazing Spider-Man,21,$3.99,05/15/19,Marvel,"93,960"
64,73,Marauders,1,$4.99,10/23/19,Marvel,"92,599"
65,74,Thanos,1,$4.99,04/24/19,Marvel,"92,558"
66,81,Amazing Spider-Man,14,$3.99,01/30/19,Marvel,"92,515"
67,78,Excalibur,1,$4.99,10/30/19,Marvel,"91,912"
71,161,War of Realms New Agents of Atlas,1,$3.99,05/08/19,Marvel,"90,651"
72,95,Immortal Hulk,19,$3.99,06/12/19,Marvel,"90,619"
73,84,Immortal Hulk,17,$3.99,05/15/19,Marvel,"90,527"
74,101,Amazing Spider-Man,24,$3.99,06/26/19,Marvel,"90,523"
79,50,Immortal Hulk,25,$5.99,10/23/19,Marvel,"89,923"
80,92,Immortal Hulk,20,$3.99,07/03/19,Marvel,"89,385"
83,107,Venom,11,$3.99,02/20/19,Marvel,"88,586"
86,103,Venom,19,$3.99,10/30/19,Marvel,"87,508"
89,91,Black Cat,2,$3.99,07/10/19,Marvel,"85,113"
91,71,Deadpool,1,$4.99,11/20/19,Marvel,"84,433"
98,85,Fallen Angels,1,$4.99,11/13/19,Marvel,"82,665"
100,94,War of Realms,2,$4.99,04/17/19,Marvel,"82,501"
101,116,Amazing Spider-Man,30,$3.99,09/25/19,Marvel,"82,311"
102,86,Amazing Spider-Man,17,$4.99,03/13/19,Marvel,"82,251"
104,77,Web of Venom Cult of Carnage,1,$4.99,04/10/19,Marvel,"81,273"
106,93,War of Realms,3,$4.99,05/01/19,Marvel,"81,221"
107,88,Friendly Neighborhood Spider-Man,1,$4.99,01/09/19,Marvel,"81,031"
110,129,Amazing Spider-Man,22,$3.99,05/29/19,Marvel,"80,447"
112,120,Immortal Hulk,18,$3.99,05/29/19,Marvel,"79,581"
115,143,Amazing Spider-Man,18,$3.99,03/27/19,Marvel,"77,593"
117,135,Amazing Spider-Man,20,$3.99,04/24/19,Marvel,"77,244"
118,173,Amazing Spider-Man,33,$3.99,11/06/19,Marvel,"77,124"
120,192,Aero,1,$3.99,07/03/19,Marvel,"77,007"
121,146,Amazing Spider-Man,19,$3.99,04/10/19,Marvel,"76,842"
122,153,Amazing Spider-Man,31,$3.99,10/09/19,Marvel,"76,773"
123,100,War of Realms,4,$4.99,05/15/19,Marvel,"75,576"
124,148,Amazing Spider-Man,23,$3.99,06/12/19,Marvel,"75,561"
126,360,Strikeforce,1,$3.99,09/25/19,Marvel,"75,134"
127,142,Venom,21,$3.99,12/25/19,Marvel,"74,071"
128,118,Spider-Man City At War,1,$3.99,03/20/19,Marvel,"73,804"
131,269,Amazing Fantasy,15 Facs. Ed.,$3.99,10/09/19,Marvel,"72,251"
132,158,Absolute Carnage Vs. Deadpool,1,$3.99,08/21/19,Marvel,"71,878"
133,185,Venom,17,$3.99,08/28/19,Marvel,"71,825"
134,179,Amazing Spider-Man,32,$3.99,10/23/19,Marvel,"71,716"
135,157,Amazing Spider-Man,15,$3.99,02/13/19,Marvel,"71,673"
135,134,Marvel Zombies Resurrection,1,$4.99,10/30/19,Marvel,"71,595"
138,138,Symbiote Spider-Man Alien Reality,1,$4.99,12/11/19,Marvel,"71,341"
139,165,Venom,18,$3.99,09/11/19,Marvel,"71,326"
140,156,Uncanny X-Men,12,$3.99,02/20/19,Marvel,"71,234"
141,82,War of Realms,6,$5.99,06/26/19,Marvel,"71,228"
144,180,Incredible Hulk,181 Facs. Ed.,$3.99,03/27/19,Marvel,"70,443"
145,54,Uncanny X-Men,11,$7.99,02/06/19,Marvel,"69,908"
147,183,Venom,14,$3.99,05/22/19,Marvel,"69,390"
149,37,Incoming,1,$9.99,12/25/19,Marvel,"69,025"
150,182,Spider-Verse,1,$3.99,10/02/19,Marvel,"68,728"
151,181,Venom,20,$3.99,11/27/19,Marvel,"68,682"
152,206,Fantastic Four,6,$3.99,01/16/19,Marvel,"68,627"
153,189,Savage Avengers,2,$3.99,06/05/19,Marvel,"68,595"
154,190,Amazing Spider-Man,34,$3.99,11/20/19,Marvel,"68,421"
155,119,War of Realms,5,$4.99,06/05/19,Marvel,"68,400"
156,191,Amazing Spider-Man,28,$3.99,08/28/19,Marvel,"68,252"
158,167,Daredevil,1,$4.99,02/06/19,Marvel,"67,936"
159,126,Amazing Spider-Man,16,$4.99,02/27/19,Marvel,"67,835"
160,362,Absolute Carnage Scream,1,$3.99,08/14/19,Marvel,"67,374"
161,199,Amazing Spider-Man,35,$3.99,12/04/19,Marvel,"67,111"
162,198,Amazing Spider-Man,13,$3.99,01/16/19,Marvel,"66,797"
165,175,Venom,12,$3.99,03/20/19,Marvel,"66,207"
168,582,Invisible Woman,1,$3.99,07/10/19,Marvel,"65,591"
169,205,Amazing Spider-Man,29,$3.99,09/11/19,Marvel,"65,231"
171,207,Amazing Spider-Man,27,$3.99,08/14/19,Marvel,"64,995"
173,147,Scream Curse of Carnage,1,$4.99,11/27/19,Marvel,"64,607"
176,217,Amazing Spider-Man,36 2099,$3.99,12/18/19,Marvel,"63,742"
179,237,King Thor,1,$3.99,09/11/19,Marvel,"63,187"
182,221,Spider-Man,2,$3.99,10/16/19,Marvel,"62,791"
183,208,Immortal Hulk,22,$3.99,08/07/19,Marvel,"62,702"
184,137,Absolute Carnage Immortal Hulk,1,$4.99,10/02/19,Marvel,"62,564"
186,209,New Mutants,2,$3.99,11/27/19,Marvel,"62,432"
188,213,Venom,10,$3.99,02/27/19,Marvel,"62,304"
191,228,Amazing Spider-Man,26,$3.99,07/24/19,Marvel,"61,439"
193,150,Spider-Man Life Story,1,$4.99,03/20/19,Marvel,"61,281"
195,145,Major X,1,$4.99,04/03/19,Marvel,"61,083"
196,278,Doctor Doom,1,$4.99,10/09/19,Marvel,"60,955"
198,187,Captain Marvel,12,$3.99,11/20/19,Marvel,"60,898"
199,240,Immortal Hulk,15,$3.99,03/20/19,Marvel,"60,851"
206,222,Immortal Hulk,21,$3.99,07/17/19,Marvel,"60,181"
210,152,Return of Wolverine,5,$4.99,02/20/19,Marvel,"59,759"
211,236,Venom,16,$3.99,07/10/19,Marvel,"59,596"
213,203,Cosmic Ghost Rider Destroys Marvel History,1,$3.99,03/06/19,Marvel,"59,166"
215,246,Return of Wolverine,4,$3.99,01/16/19,Marvel,"58,753"
216,251,Fantastic Four,14,$3.99,09/04/19,Marvel,"58,705"
217,250,Immortal Hulk,23,$3.99,09/04/19,Marvel,"58,705"
219,252,Savage Avengers,3,$3.99,07/03/19,Marvel,"58,586"
221,160,Journey Star Wars Rise Skywalker Allegiance,1,$4.99,10/09/19,Marvel,"57,939"
223,239,Absolute Carnage Miles Morales,1,$3.99,08/28/19,Marvel,"57,465"
226,188,Avengers No Road Home,1,$4.99,02/13/19,Marvel,"57,146"
228,247,Wolverine Infinity Watch,1,$3.99,02/20/19,Marvel,"56,972"
229,242,Captain Marvel,8,$3.99,07/17/19,Marvel,"56,940"
233,266,Venom,13,$3.99,04/24/19,Marvel,"56,592"
235,274,Fantastic Four,7,$3.99,02/27/19,Marvel,"56,341"
236,276,Amazing Spider-Man,16.HU,$3.99,03/06/19,Marvel,"56,293"
237,272,Venom,15,$3.99,06/12/19,Marvel,"56,242"
238,168,Red Goblin Red Death,1,$4.99,10/30/19,Marvel,"56,165"
239,599,Savage Avengers,6,$3.99,10/02/19,Marvel,"56,033"
240,280,Immortal Hulk,24,$3.99,10/02/19,Marvel,"55,989"
241,253,Excalibur,2,$3.99,11/20/19,Marvel,"55,940"
242,288,Amazing Spider-Man,18.HU,$3.99,04/03/19,Marvel,"55,914"
245,285,Avengers,18,$3.99,04/24/19,Marvel,"55,666"
250,290,Symbiote Spider-Man,2,$3.99,05/08/19,Marvel,"55,091"
254,291,Spider-Man,3,$3.99,12/18/19,Marvel,"54,722"
256,163,Spider-Man Annual,1,$4.99,06/26/19,Marvel,"54,454"
258,295,Fantastic Four,8,$3.99,03/27/19,Marvel,"54,382"
259,286,Silver Surfer Black,5,$3.99,10/30/19,Marvel,"53,731"
260,303,Immortal Hulk,14,$3.99,03/06/19,Marvel,"53,674"
261,301,Amazing Spider-Man,19.HU,$3.99,04/17/19,Marvel,"53,673"
262,573,Dr Strange,1,$3.99,12/25/19,Marvel,"53,664"
264,613,Daredevil,3,$3.99,03/27/19,Marvel,"53,479"
