Units,Comic-book Title,Issue,Price,On sale,Publisher,Est. units
1,Wolverine,1,$7.99,02/19/20,Marvel,"196,441"
3,Thor,1,$4.99,01/01/20,Marvel,"163,210"
4,Spider-Woman,1,$4.99,03/18/20,Marvel,"142,089"
5,Star Wars,1,$4.99,01/01/20,Marvel,"97,053"
6,X-Men,4,$3.99,01/01/20,Marvel,"93,342"
7,X-Men,6,$3.99,02/12/20,Marvel,"92,287"
11,X-Men,5,$3.99,01/29/20,Marvel,"82,364"
13,X-Men,7,$4.99,02/26/20,Marvel,"77,715"
14,Thor,4,$3.99,03/11/20,Marvel,"75,988"
15,X-Men,8,$3.99,03/11/20,Marvel,"75,080"
17,Wolverine,2,$3.99,03/25/20,Marvel,"74,228"
21,Strange Academy,1,$4.99,03/04/20,Marvel,"71,039"
22,X-Men,9,$3.99,03/25/20,Marvel,"70,208"
23,Gwen Stacy,1,$4.99,02/12/20,Marvel,"69,284"
24,Guardians of the Galaxy,1,$4.99,01/22/20,Marvel,"69,104"
25,Immortal Hulk,33,$5.99,03/25/20,Marvel,"68,765"
26,Giant Size X-Men Jean Grey & Emma Frost,1,$4.99,02/26/20,Marvel,"64,700"
27,Star Wars Darth Vader,1,$4.99,02/05/20,Marvel,"63,866"
28,Star Wars Bounty Hunters,1,$3.99,03/11/20,Marvel,"61,941"
29,Amazing Spider-Man,39,$3.99,02/12/20,Marvel,"60,302"
31,X-Men Fantastic Four,1,$4.99,02/05/20,Marvel,"59,367"
33,Star,1,$3.99,01/08/20,Marvel,"57,901"
34,Amazing Spider-Man,38,$3.99,01/22/20,Marvel,"57,726"
35,Amazing Spider-Man,37,$3.99,01/08/20,Marvel,"57,520"
37,Hellions,1,$4.99,03/25/20,Marvel,"55,772"
39,Thor,2,$3.99,01/29/20,Marvel,"54,908"
41,Iron Man 2020,1,$4.99,01/15/20,Marvel,"54,624"
42,Amazing Spider-Man,40,$3.99,02/26/20,Marvel,"54,210"
43,Amazing Spider-Man,41,$3.99,03/11/20,Marvel,"53,428"
44,X-Force,5,$3.99,01/08/20,Marvel,"53,157"
46,Cable,1,$4.99,03/11/20,Marvel,"52,143"
47,Amazing Spider-Man,42,$3.99,03/25/20,Marvel,"52,142"
48,Thor,3,$3.99,02/12/20,Marvel,"51,836"
49,X-Men Fantastic Four,2,$3.99,02/26/20,Marvel,"51,753"
50,Guardians of the Galaxy,2,$3.99,02/19/20,Marvel,"50,934"
51,Marvels X,1,$4.99,01/08/20,Marvel,"50,710"
52,Marvel,1,$4.99,03/04/20,Marvel,"50,245"
53,New Mutants,5,$3.99,01/08/20,Marvel,"50,013"
54,Immortal Hulk,31,$3.99,02/12/20,Marvel,"49,545"
55,Venom,23,$3.99,02/12/20,Marvel,"48,894"
