Units,Dollars,Comic-book Title,Issue,Price,Publisher,Est. units
1,1,Avengers,1,$3.99,Marvel,"175,100"
2,5,X-Men,1,$3.99,Marvel,"144,700"
4,9,Siege,1,$3.99,Marvel,"137,700"
6,8,New Avengers,1,$3.99,Marvel,"132,500"
9,16,Siege,2,$3.99,Marvel,"120,200"
11,11,Siege,3,$3.99,Marvel,"117,900"
12,12,Siege,4,$3.99,Marvel,"115,300"
13,13,Secret Avengers,1,$3.99,Marvel,"115,100"
17,19,Wolverine,1,$3.99,Marvel,"107,700"
21,20,Avengers,2,$3.99,Marvel,"103,000"
26,24,Uncanny X-Force,1,$3.99,Marvel,"100,100"
36,28,Avengers,3,$3.99,Marvel,"90,500"
39,29,Avengers,4,$3.99,Marvel,"90,100"
41,35,Avengers,7,$3.99,Marvel,"90,000"
44,30,Captain America Reborn,6,$3.99,Marvel,"88,900"
51,34,New Avengers,2,$3.99,Marvel,"85,800"
56,37,Avengers,5,$3.99,Marvel,"83,500"
59,18,New Avengers Finale,1,$4.99,Marvel,"82,700"
60,38,New Avengers,3,$3.99,Marvel,"82,400"
61,127,Uncanny X-Men,523,$2.99,Marvel,"82,300"
63,128,Uncanny X-Men,524,$2.99,Marvel,"82,100"
65,41,Secret Avengers,2,$3.99,Marvel,"81,100"
66,42,New Avengers,61,$3.99,Marvel,"80,500"
73,72,Amazing Spider-Man,648,$3.99,Marvel,"78,500"
75,45,Dark Avengers,14,$3.99,Marvel,"78,300"
77,46,New Avengers,62,$3.99,Marvel,"78,100"
78,47,X-Men Second Coming,1,$3.99,Marvel,"78,000"
79,83,Invincible Iron Man,25,$3.99,Marvel,"77,900"
80,48,New Avengers,4,$3.99,Marvel,"77,600"
82,81,Amazing Spider-Man,617,$3.99,Marvel,"77,500"
83,49,New Avengers,63,$3.99,Marvel,"77,200"
84,51,New Avengers,64,$3.99,Marvel,"76,900"
86,53,Dark Avengers,13,$3.99,Marvel,"76,600"
90,54,Secret Avengers,4,$3.99,Marvel,"76,400"
91,155,Uncanny X-Men,525,$2.99,Marvel,"76,200"
92,57,Ultimate Comics New Ultimates,1,$3.99,Marvel,"75,600"
94,58,Secret Avengers,3,$3.99,Marvel,"75,000"
97,59,Amazing Spider-Man,640,$3.99,Marvel,"74,200"
98,69,Avengers Prime,1,$3.99,Marvel,"74,100"
99,61,Avengers,6,$3.99,Marvel,"74,100"
100,104,X-Men,2,$3.99,Marvel,"74,000"
101,64,New Avengers,5,$3.99,Marvel,"73,800"
102,65,Dark Avengers,15,$3.99,Marvel,"73,400"
103,172,Kick-Ass 2,1,$2.99,Marvel,"73,300"
105,68,Dark Avengers,16,$3.99,Marvel,"71,900"
107,186,X-Force,26,$2.99,Marvel,"71,800"
112,220,X-Men Legacy,236,$2.99,Marvel,"70,600"
113,74,Secret Avengers,5,$3.99,Marvel,"70,100"
114,75,Amazing Spider-Man,638,$3.99,Marvel,"69,800"
