Units,Dollars,Comic-book Title,Issue,Price,On sale,Publisher,Est. units
909,819,Thanos,13,$3.99,11/22/17,Marvel,"27,870"
227,239,Star Wars,41,$3.99,01/03/18,Marvel,"56,602"
281,303,Phoenix Resurrection Return Jean Grey,2,$3.99,01/03/18,Marvel,"51,813"
289,296,Astonishing X-Men,7,$3.99,01/03/18,Marvel,"51,397"
383,268,Guardians of the Galaxy,150,$4.99,01/03/18,Marvel,"45,504"
472,398,Rise of Black Panther,1,$3.99,01/03/18,Marvel,"40,963"
478,428,Rogue & Gambit,1,$3.99,01/03/18,Marvel,"40,358"
523,521,Captain America,697,$3.99,01/03/18,Marvel,"38,254"
551,544,X-Men Gold,19,$3.99,01/03/18,Marvel,"37,035"
701,348,X-Men Grand Design,2,$5.99,01/03/18,Marvel,"31,977"
987,981,Spider-Man,236,$3.99,01/03/18,Marvel,"26,400"
86,65,Avengers,675,$4.99,01/10/18,Marvel,"88,054"
188,196,Old Man Hawkeye,1,$3.99,01/10/18,Marvel,"61,859"
250,278,Star Wars Darth Vader,10,$3.99,01/10/18,Marvel,"53,832"
311,331,Phoenix Resurrection Return Jean Grey,3,$3.99,01/10/18,Marvel,"50,019"
488,446,Venom,160,$3.99,01/10/18,Marvel,"40,102"
582,576,Old Man Logan,33,$3.99,01/10/18,Marvel,"36,033"
625,421,X-Men Gold Annual,1,$4.99,01/10/18,Marvel,"34,614"
658,662,X-Men Blue,19,$3.99,01/10/18,Marvel,"33,432"
768,699,Daredevil,597,$3.99,01/10/18,Marvel,"30,678"
954,935,Despicable Deadpool,292,$3.99,01/10/18,Marvel,"26,983"
998,984,Spider-Man Deadpool,26,$3.99,01/10/18,Marvel,"26,104"
241,261,Star Wars,42,$3.99,01/17/18,Marvel,"54,544"
325,256,Amazing Spider-Man Venom Inc Omega,1,$4.99,01/17/18,Marvel,"48,905"
389,431,Avengers,676,$3.99,01/17/18,Marvel,"45,265"
434,426,Mighty Thor,703,$3.99,01/17/18,Marvel,"43,171"
558,547,X-Men Gold,20,$3.99,01/17/18,Marvel,"36,905"
702,704,Deadpool Vs. Old Man Logan,4,$3.99,01/17/18,Marvel,"31,967"
839,851,Peter Parker Spectacular Spider-Man,299,$3.99,01/17/18,Marvel,"29,056"
934,933,Doctor Strange,384,$3.99,01/17/18,Marvel,"27,298"
979,979,Weapon X,13,$3.99,01/17/18,Marvel,"26,487"
140,154,Amazing Spider-Man,794,$3.99,01/24/18,Marvel,"74,280"
348,359,Phoenix Resurrection Return Jean Grey,4,$3.99,01/24/18,Marvel,"46,872"
404,391,Thanos,15,$3.99,01/24/18,Marvel,"44,642"
445,474,Avengers,677,$3.99,01/24/18,Marvel,"42,574"
479,375,X-Men Blue Annual,1,$4.99,01/24/18,Marvel,"40,318"
556,602,Marvel Two-In-One,2,$3.99,01/24/18,Marvel,"36,921"
668,678,X-Men Blue,20,$3.99,01/24/18,Marvel,"32,910"
340,231,Phoenix Resurrection Return Jean Grey,5,$4.99,01/31/18,Marvel,"47,337"
347,480,Avengers,678,$3.99,01/31/18,Marvel,"46,887"
